,Parcel_No,review,date_2016,address,add_ver,add_rev,add_corr,proptype,units,othertype,propstatus,#_stories,add_mlbox,add_house,add_marker,add_notvis,stsign_vis,streetligh,MIN_NO,MIN_RFSWY,MIN_RFTILE,MIN_FOUND,MIN_WINDDO,MIN_WNDPAN,MIN_UNFINW,MIN_MISSID,MIN_INSUL,MIN_ROT,MIN_STEPS,MIN_PORCH,MIN_SKIRT,MIN_RAILS,MAJ_NO,MAJ_RFSWY,MAJ_RFTILE,MAJ_FOUND,MAJ_WINDDO,MAJ_SIDING,MAJ_ROT,MAJ_PORCH,MAJ_SKIRT,Yard,condition,sidewalks,trees,junk,lit_ditch,lit_yard,lit_officials,lit_none,Comments,Pic1,Pic2,Pic3,Pic4,long,lat,MIN_TOTAL,MAJ_TOTAL,MnMj_total,conditions,other_tot,lit_tot,ParcCount,rec_id
318,M21 025,Becky,6/23/2016,846 HERNDON STREET,yes,n/a,yes,Single family (no garage),n/a,n/a,occupied,one,No,Yes,No,No,yes,1-2,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,satisfactory,good,No,No,No,No,No,No,Yes,None,http://ona.io/api/v1/files/1997281?filename=communitymapuga/attachments/1466695332136.jpg,http://ona.io/api/v1/files/1997280?filename=communitymapuga/attachments/1466695371864.jpg,None,None,-81.95083002,32.80982385,0,0,0,Standard,0,0,2,M21 02561
320,M21 027,Polly Dailey,6/23/2016,0 BROWN AVENUE,no,Unknown,no,Single family (no garage),n/a,n/a,occupied,one,No,No,No,Yes,yes,1-2,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,satisfactory,poor,No,No,No,No,No,No,Yes,None,http://ona.io/api/v1/files/1997200?filename=communitymapuga/attachments/1466695806458.jpg,http://ona.io/api/v1/files/1997199?filename=communitymapuga/attachments/1466695816328.jpg,None,None,-81.95043329,32.8091555,1,1,2,Substandard,0,0,2,M21 02762
321,M21 027,Jacinda,6/21/2016,0 BROWN AVENUE,no,Unknown ,no,Single family (no garage),n/a,n/a,occupied,one,No,No,No,Yes,no,1-2,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,needs_to_be_mo,fair,No,Yes,No,No,No,No,Yes,None,http://ona.io/api/v1/files/1986345?filename=communitymapuga/attachments/1466552233439.jpg,None,None,None,-81.95084284,32.8093952,2,0,2,Substandard,1,0,2,M21 02763
322,M21 028,Robin,6/21/2016,217 BROWN AVENUE,yes,n/a,yes,Mobile home (multiple parcels),n/a,n/a,occupied,one,No,No,No,Yes,no,1-2,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,needs_to_be_mo,poor,No,Yes,Yes,No,No,No,Yes,Single wide mobile home behind abandoned shack,http://ona.io/api/v1/files/1985304?filename=communitymapuga/attachments/1466552357378.jpg,None,None,None,-81.95037899,32.80915513,1,0,1,Standard,2,0,3,M21 02864
323,M21 028,Jacinda,6/21/2016,217 BROWN AVENUE,no,Unknown ,no,Other,n/a,Condemned house,vacant_unoccup,one,No,No,No,Yes,no,1-2,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,major_cleanup_,poor,No,No,No,No,No,No,Yes,None,http://ona.io/api/v1/files/1986344?filename=communitymapuga/attachments/1466551938224.jpg,None,None,None,-81.95034126,32.8089616,11,6,17,Dilapidated,0,0,3,M21 02865
324,M21 028,Becky,6/23/2016,217 BROWN AVENUE,yes,n/a,no,Mobile home (single parcels),n/a,n/a,occupied,one,No,No,No,Yes,yes,3-4,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,needs_to_be_mo,poor,No,Yes,Yes,No,No,No,Yes,outside building needs torn down,http://ona.io/api/v1/files/1997284?filename=communitymapuga/attachments/1466696220127.jpg,http://ona.io/api/v1/files/1997286?filename=communitymapuga/attachments/1466696236026.jpg,http://ona.io/api/v1/files/1997285?filename=communitymapuga/attachments/1466696252557.jpg,None,-81.95032623,32.80914165,2,1,3,Substandard,2,0,3,M21 02866
325,M21 029,Robin,6/21/2016,204 BROWN AVENUE,yes,n/a,no,Single family (no garage),n/a,n/a,occupied,one,No,No,No,Yes,no,1-2,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,satisfactory,fair,No,No,No,No,No,No,Yes,House sits on Parcel 29 & 30,http://ona.io/api/v1/files/1985303?filename=communitymapuga/attachments/1466551866456.jpg,None,None,None,-81.94985926,32.80896659,0,0,0,Standard,0,0,2,M21 02967
326,M21 029,Polly Dailey,6/23/2016,204 BROWN AVENUE,yes,n/a,no,Single family (no garage),n/a,n/a,occupied,one,No,No,No,Yes,yes,1-2,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,needs_to_be_mo,fair,No,Yes,No,No,No,No,Yes,None,http://ona.io/api/v1/files/1997216?filename=communitymapuga/attachments/1466696361061.jpg,http://ona.io/api/v1/files/1997217?filename=communitymapuga/attachments/1466696374746.jpg,http://ona.io/api/v1/files/1997215?filename=communitymapuga/attachments/1466696395490.jpg,None,-81.95003907,32.80945562,2,1,3,Substandard,1,0,2,M21 02968
328,M21 031,Polly Dailey,6/23/2016,202 BROWN AVENUE,yes,n/a,no,Mobile home (single parcels),n/a,n/a,occupied,one,No,No,No,Yes,yes,1-2,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,satisfactory,fair,No,No,No,No,No,No,Yes,None,http://ona.io/api/v1/files/1997223?filename=communitymapuga/attachments/1466696628826.jpg,http://ona.io/api/v1/files/1997224?filename=communitymapuga/attachments/1466696642092.jpg,None,None,-81.94987486,32.80913297,0,0,0,Standard,0,0,2,M21 03169
329,M21 031,Jacinda,6/21/2016,202 BROWN AVENUE,no,Unknown ,no,Single family (no garage),n/a,n/a,occupied,one,No,No,No,Yes,no,four_plus,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,satisfactory,good,No,No,No,No,No,No,Yes,None,http://ona.io/api/v1/files/1986343?filename=communitymapuga/attachments/1466551613307.jpg,None,None,None,-81.94973501,32.80898369,0,0,0,Standard,0,0,2,M21 03170
