,Parcel_No,review,date_2016,address,add_ver,add_rev,add_corr,proptype,units,othertype,propstatus,#_stories,add_mlbox,add_house,add_marker,add_notvis,stsign_vis,streetligh,MIN_NO,MIN_RFSWY,MIN_RFTILE,MIN_FOUND,MIN_WINDDO,MIN_WNDPAN,MIN_UNFINW,MIN_MISSID,MIN_INSUL,MIN_ROT,MIN_STEPS,MIN_PORCH,MIN_SKIRT,MIN_RAILS,MAJ_NO,MAJ_RFSWY,MAJ_RFTILE,MAJ_FOUND,MAJ_WINDDO,MAJ_SIDING,MAJ_ROT,MAJ_PORCH,MAJ_SKIRT,Yard,condition,sidewalks,trees,junk,lit_ditch,lit_yard,lit_officials,lit_none,Comments,Pic1,Pic2,Pic3,Pic4,long,lat,MIN_TOTAL,MAJ_TOTAL,MnMj_total,conditions,other_tot,lit_tot,ParcCount,rec_id
396,M21 092,Jacinda,6/21/2016,0 COOPER LANE,no,Unknown ,no,Mobile home (single parcels),n/a,n/a,vacant_unoccup,one,No,No,No,Yes,yes,1-2,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,major_cleanup_,poor,No,No,No,No,No,Yes,No,None,http://ona.io/api/v1/files/1986360?filename=communitymapuga/attachments/1466554858620.jpg,None,None,None,-81.95420274,32.80949664,13,8,21,Dilapidated,1,1,2,M21 09291
397,M21 092,Angela Moore ,6/24/2016,0 COOPER LANE,no,Unknown ,no,vacant,n/a,n/a,vacant_unoccup,n/a,No,No,No,Yes,yes,four_plus,n/a,No,No,No,No,No,No,No,No,No,No,No,No,No,n/a,No,No,No,No,No,No,No,No,needs_to_be_mo,n/a,No,No,No,No,No,No,Yes,None,http://ona.io/api/v1/files/2002450?filename=communitymapuga/attachments/1466781213123.jpg,None,None,None,-81.95417031,32.8090781,0,0,0,Standard,0,0,2,M21 09292
401,M21 096,Angela Moore ,6/24/2016,0 BUCKHEAD ROAD,no,Unknown ,no,Single family (no garage),n/a,n/a,vacant_unoccup,one,No,No,No,Yes,yes,1-2,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,major_cleanup_,poor,No,Yes,Yes,No,Yes,No,No,None,http://ona.io/api/v1/files/2002433?filename=communitymapuga/attachments/1466780241572.jpg,http://ona.io/api/v1/files/2002432?filename=communitymapuga/attachments/1466780248426.jpg,http://ona.io/api/v1/files/2002431?filename=communitymapuga/attachments/1466780264255.jpg,None,-81.95297114,32.80952566,3,1,4,Substandard,3,1,2,M21 09693
402,M21 096,Jacinda,6/22/2016,0 BUCKHEAD ROAD,no,Unknown ,no,Single family (no garage),n/a,n/a,vacant_unoccup,one,No,No,No,Yes,yes,1-2,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,major_cleanup_,poor,No,No,No,No,Yes,No,No,None,http://ona.io/api/v1/files/2000162?filename=communitymapuga/attachments/1466634833581.jpg,None,None,None,-81.95300899,32.80898113,0,8,8,Dilapidated,1,1,2,M21 09694
404,M21 097,Angela Moore ,6/24/2016,817 BUCKHEAD ROAD,yes,n/a,no,Mobile home (multiple parcels),n/a,n/a,occupied,one,Yes,Yes,No,No,yes,1-2,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,satisfactory,good,No,No,No,No,No,No,Yes,Multiple structure on lot,http://ona.io/api/v1/files/2002422?filename=communitymapuga/attachments/1466779329186.jpg,http://ona.io/api/v1/files/2002421?filename=communitymapuga/attachments/1466779368051.jpg,None,None,-81.95398914,32.80917246,0,0,0,Standard,0,0,3,M21 09795
405,M21 097,M21,6/22/2016,817 BUCKHEAD ROAD,yes,n/a,yes,Other,n/a,Multiple houses on 1 parcel,occupied,one,No,No,No,Yes,yes,Unknown,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,satisfactory,fair,No,No,No,No,No,No,Yes,None,http://ona.io/api/v1/files/2000181?filename=communitymapuga/attachments/1466634919889.jpg,http://ona.io/api/v1/files/2000182?filename=communitymapuga/attachments/1466634932214.jpg,None,None,-81.95377609,32.80932942,7,3,10,Dilapidated,0,0,3,M21 09796
406,M21 097,Polly Dailey,6/24/2016,817 BUCKHEAD ROAD,yes,n/a,no,Single family (no garage),n/a,n/a,unknown,one,No,No,No,Yes,yes,1-2,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes,needs_to_be_mo,poor,No,No,No,No,No,No,Yes,None,http://ona.io/api/v1/files/2002485?filename=communitymapuga/attachments/1466779647636.jpg,None,None,None,-81.9533946,32.80868718,6,3,9,Dilapidated,0,0,3,M21 09797
407,M21 098,Jacinda,6/22/2016,0 BUCKHEAD ROAD,no,Unknown ,no,Single family (no garage),n/a,n/a,vacant_unoccup,one,No,No,No,Yes,yes,1-2,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,major_cleanup_,poor,No,No,Yes,No,No,No,Yes,None,http://ona.io/api/v1/files/2000164?filename=communitymapuga/attachments/1466635135215.jpg,http://ona.io/api/v1/files/2000163?filename=communitymapuga/attachments/1466635147645.jpg,None,None,-81.95381195,32.80860888,0,7,7,Dilapidated,1,0,2,M21 09898
408,M21 098,Polly Dailey,6/24/2016,0 BUCKHEAD ROAD,no,Unknown,no,Single family (no garage),n/a,n/a,vacant_unoccup,one,No,No,No,Yes,yes,1-2,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,major_cleanup_,poor,No,Yes,No,No,No,Yes,No,None,http://ona.io/api/v1/files/2002475?filename=communitymapuga/attachments/1466778863280.jpg,None,None,None,-81.95360454,32.80880513,4,5,9,Dilapidated,2,1,2,M21 09899
413,M21 101A,Angela Moore ,6/24/2016,0 DREXEL AVENUE,no,429 Drexel ,no,Mobile home (single parcels),n/a,n/a,occupied,one,Yes,No,No,No,yes,Unknown,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,satisfactory,fair,No,No,No,No,No,No,Yes,None,http://ona.io/api/v1/files/2002478?filename=communitymapuga/attachments/1466789828449.jpg,None,None,None,-81.95386355,32.80798521,4,1,5,Dilapidated,0,0,2,M21 101A100
414,M21 101A,Allison Drew ,6/24/2016,0 DREXEL AVENUE,no,Unknown,no,Mobile home (multiple parcels),n/a,n/a,occupied,one,No,No,No,Yes,yes,Unknown,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,satisfactory,fair,No,No,No,No,No,No,Yes,None,http://ona.io/api/v1/files/2002500?filename=communitymapuga/attachments/1466789982971.jpg,None,None,None,-81.9538219,32.80817517,3,1,4,Substandard,0,0,2,M21 101A101
416,M22 011,Pam,6/22/2016,0 W ATWELL AVENUE,no,Unknown,yes,Single family (no garage),n/a,n/a,occupied,one,No,No,No,Yes,yes,1-2,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,major_cleanup_,poor,Yes,No,Yes,No,No,No,Yes,None,http://ona.io/api/v1/files/1987338?filename=communitymapuga/attachments/1466624713435.jpg,http://ona.io/api/v1/files/1987337?filename=communitymapuga/attachments/1466624721890.jpg,None,None,-81.94980188,32.80546582,2,0,2,Substandard,2,0,3,M22 011102
417,M22 011,Mandy ,6/22/2016,0 W ATWELL AVENUE,no,412 gilmer street ,yes,Single family (no garage),n/a,n/a,occupied,one,No,Yes,No,No,yes,1-2,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,satisfactory,fair,No,No,No,No,No,No,Yes,Older house but not bad shape. ,http://ona.io/api/v1/files/1987327?filename=communitymapuga/attachments/1466625130560.jpg,http://ona.io/api/v1/files/1987328?filename=communitymapuga/attachments/1466625150360.jpg,None,None,-81.94966151,32.80541158,0,0,0,Standard,0,0,3,M22 011103
418,M22 011,Mandy ,6/22/2016,0 W ATWELL AVENUE,no,Unknown ,no,vacant,n/a,n/a,unknown,n/a,No,No,No,Yes,yes,Unknown,n/a,No,No,No,No,No,No,No,No,No,No,No,No,No,n/a,No,No,No,No,No,No,No,No,satisfactory,n/a,Yes,No,No,No,No,No,Yes,None,http://ona.io/api/v1/files/1987323?filename=communitymapuga/attachments/1466624500825.jpg,None,None,None,-81.94921667,32.80484436,0,0,0,Standard,1,0,3,M22 011104
421,M22 015,Becky,6/23/2016,538 GILMER STREET,no,Williams Ave.,no,Other,n/a,Garage occupied.,occupied,one,No,No,No,Yes,yes,1-2,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,needs_to_be_mo,poor,Yes,No,Yes,No,Yes,No,No,Next to mayor's business.,http://ona.io/api/v1/files/1997306?filename=communitymapuga/attachments/1466708888071.jpg,http://ona.io/api/v1/files/1997307?filename=communitymapuga/attachments/1466708908931.jpg,None,None,-81.94956872,32.80668866,3,1,4,Substandard,3,1,3,M22 015105
422,M22 015,K,6/14/2016,538 GILMER STREET,no,179 Johnson,yes,Mobile home (single parcels),n/a,n/a,occupied,one,No,Yes,No,No,yes,four_plus,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,satisfactory,poor,No,No,No,No,No,No,Yes,None,http://ona.io/api/v1/files/1928548?filename=communitymapuga/attachments/1465933233225.jpg,http://ona.io/api/v1/files/1928550?filename=communitymapuga/attachments/1465933249276.jpg,http://ona.io/api/v1/files/1928549?filename=communitymapuga/attachments/1465933268855.jpg,None,-81.94940419,32.80654921,6,3,9,Dilapidated,0,0,3,M22 015106
423,M22 015,Becky,6/23/2016,538 GILMER STREET,yes,n/a,yes,Single family (no garage),n/a,n/a,occupied,one,Yes,No,No,No,yes,four_plus,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,needs_to_be_mo,poor,Yes,No,No,No,Yes,No,No,None,http://ona.io/api/v1/files/1997303?filename=communitymapuga/attachments/1466708448302.jpg,http://ona.io/api/v1/files/1997302?filename=communitymapuga/attachments/1466708464150.jpg,http://ona.io/api/v1/files/1997304?filename=communitymapuga/attachments/1466708623782.jpg,None,-81.94932357,32.80662197,5,1,6,Dilapidated,2,1,3,M22 015107
425,M22 017,"K

",6/14/2016,0 GILMER/DREXEL AVENUE,no,Neal Ave and Johnson ,no,Single family (no garage),n/a,n/a,occupied,one,No,Yes,No,No,yes,four_plus,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,major_cleanup_,poor,No,No,No,No,No,No,Yes,None ,http://ona.io/api/v1/files/1928534?filename=communitymapuga/attachments/1465929719854.jpg,http://ona.io/api/v1/files/1928536?filename=communitymapuga/attachments/1465929745690.jpg,http://ona.io/api/v1/files/1928535?filename=communitymapuga/attachments/1465929840658.jpg,None,-81.94938455,32.80686303,8,5,13,Dilapidated,0,0,2,M22 017108
426,M22 017,K,6/14/2016,0 GILMER/DREXEL AVENUE,no,None,no,Single family (no garage),n/a,n/a,for_rent,one,No,No,No,Yes,yes,four_plus,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,needs_to_be_mo,poor,No,No,Yes,No,No,No,Yes,None,http://ona.io/api/v1/files/1928538?filename=communitymapuga/attachments/1465930186593.jpg,http://ona.io/api/v1/files/1928539?filename=communitymapuga/attachments/1465930211258.jpg,http://ona.io/api/v1/files/1928540?filename=communitymapuga/attachments/1465930236205.jpg,None,-81.94921103,32.80683392,7,5,12,Dilapidated,1,0,2,M22 017109
428,M22 022,Lme,6/24/2016,248 DREXEL AVENUE,no,Unknown,yes,Mobile home (single parcels),n/a,n/a,occupied,one,No,No,No,Yes,yes,3-4,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,major_cleanup_,fair,No,No,No,No,No,No,Yes,Junk cars in the yard,http://ona.io/api/v1/files/2002113?filename=communitymapuga/attachments/1466779164400.jpg,http://ona.io/api/v1/files/2002112?filename=communitymapuga/attachments/1466779174956.jpg,http://ona.io/api/v1/files/2002114?filename=communitymapuga/attachments/1466779186214.jpg,None,-81.95143677,32.80719021,2,2,4,Dilapidated,0,0,2,M22 022110
429,M22 022,Becky,6/24/2016,248 DREXEL AVENUE,yes,n/a,no,Single family (no garage),n/a,n/a,occupied,one,No,No,No,Yes,yes,1-2,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,needs_to_be_mo,poor,No,No,No,No,Yes,No,No,None,http://ona.io/api/v1/files/2002068?filename=communitymapuga/attachments/1466778792302.jpg,http://ona.io/api/v1/files/2002066?filename=communitymapuga/attachments/1466778893674.jpg,None,None,-81.95081623,32.80745763,3,1,4,Substandard,1,1,2,M22 022111
430,M22 023,"Katherine Pincura

",6/14/2016,608 HERNDON STREET,no,235 Johnson ,yes,Single family (no garage),n/a,n/a,occupied,one,Yes,Yes,No,No,yes,four_plus,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,satisfactory,poor,No,No,No,No,No,No,Yes,None,http://ona.io/api/v1/files/1928528?filename=communitymapuga/attachments/1465927868446.jpg,http://ona.io/api/v1/files/1928526?filename=communitymapuga/attachments/1465928476585.jpg,None,http://ona.io/api/v1/files/1928527?filename=communitymapuga/attachments/1465928495823.jpg,-81.95130353,32.80661716,9,5,14,Dilapidated,0,0,2,M22 023112
431,M22 023,LME,6/24/2016,608 HERNDON STREET,yes,n/a,no,Single family (no garage),n/a,n/a,occupied,one,No,No,No,Yes,yes,3-4,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,satisfactory,fair,Yes,No,No,No,No,No,Yes,None,http://ona.io/api/v1/files/2002101?filename=communitymapuga/attachments/1466778670886.jpg,http://ona.io/api/v1/files/2002100?filename=communitymapuga/attachments/1466778685655.jpg,http://ona.io/api/v1/files/2002099?filename=communitymapuga/attachments/1466778699614.jpg,None,-81.95086657,32.80661049,2,1,3,Substandard,1,0,2,M22 023113
432,M22 024,Becky,6/24/2016,239 WILLIAMS AVENUE,yes,n/a,no,Mobile home (single parcels),n/a,n/a,occupied,one,No,No,No,Yes,yes,1-2,No,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Yes,needs_to_be_mo,poor,Yes,No,Yes,No,Yes,No,No,None,http://ona.io/api/v1/files/2002061?filename=communitymapuga/attachments/1466778379956.jpg,http://ona.io/api/v1/files/2002062?filename=communitymapuga/attachments/1466778388772.jpg,http://ona.io/api/v1/files/2002063?filename=communitymapuga/attachments/1466778404038.jpg,None,-81.95077367,32.80663016,7,2,9,Dilapidated,3,1,2,M22 024114
433,M22 024,Becky,6/24/2016,239 WILLIAMS AVENUE,no,Unknown,no,Mobile home (single parcels),n/a,n/a,vacant_unoccup,one,No,No,No,Yes,yes,1-2,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,Yes,major_cleanup_,poor,Yes,Yes,Yes,No,No,Yes,No,None,http://ona.io/api/v1/files/2002060?filename=communitymapuga/attachments/1466778153391.jpg,http://ona.io/api/v1/files/2002059?filename=communitymapuga/attachments/1466778170183.jpg,None,None,-81.95106641,32.80669556,4,2,6,Dilapidated,4,1,2,M22 024115
436,M22 029C,Pam,6/22/2016,311 PALMER ROW,yes,n/a,yes,Single family (no garage),n/a,n/a,occupied,one,No,Yes,No,No,yes,1-2,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,satisfactory,good,No,No,No,No,No,No,Yes,None,http://ona.io/api/v1/files/1987356?filename=communitymapuga/attachments/1466626489765.jpg,None,None,None,-81.95135042,32.80503937,0,0,0,Standard,0,0,2,M22 029C116
437,M22 029C,Pam,6/22/2016,311 PALMER ROW,yes,n/a,yes,Mobile home (multiple parcels),n/a,n/a,unknown,one,No,Yes,No,No,yes,1-2,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,satisfactory,fair,No,No,No,No,No,No,Yes,Second house(mobilehome) on lot,http://ona.io/api/v1/files/1987357?filename=communitymapuga/attachments/1466626639527.jpg,None,None,None,-81.95159671,32.8050996,0,0,0,Standard,0,0,2,M22 029C117
451,M22 041,Mandy ,6/22/2016,0 W WINTHROPE AVENUE,no,Unknown ,no,Mobile home (multiple parcels),n/a,n/a,occupied,one,No,No,No,Yes,yes,1-2,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,satisfactory,good,No,No,No,No,No,No,Yes,None,http://ona.io/api/v1/files/1987390?filename=communitymapuga/attachments/1466628081824.jpg,http://ona.io/api/v1/files/1987389?filename=communitymapuga/attachments/1466628130472.jpg,http://ona.io/api/v1/files/1987391?filename=communitymapuga/attachments/1466628142174.jpg,None,-81.95295657,32.80451953,1,0,1,Standard,0,0,3,M22 041118
452,M22 041,Mandy ,6/22/2016,0 W WINTHROPE AVENUE,no,Palmer row ,no,Single family (no garage),n/a,n/a,occupied,one,No,No,No,Yes,yes,1-2,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,satisfactory,good,No,No,No,No,No,No,Yes,None,http://ona.io/api/v1/files/1987374?filename=communitymapuga/attachments/1466627426779.jpg,http://ona.io/api/v1/files/1987375?filename=communitymapuga/attachments/1466627483406.jpg,None,None,-81.95264673,32.8046478,1,0,1,Standard,0,0,3,M22 041119
453,M22 041,Mandy ,6/22/2016,0 W WINTHROPE AVENUE,no,Unknown ,no,Single family (no garage),n/a,n/a,occupied,one,No,No,No,Yes,yes,1-2,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,satisfactory,fair,No,No,No,No,No,No,Yes,None,http://ona.io/api/v1/files/1987384?filename=communitymapuga/attachments/1466627780440.jpg,http://ona.io/api/v1/files/1987382?filename=communitymapuga/attachments/1466627801208.jpg,http://ona.io/api/v1/files/1987383?filename=communitymapuga/attachments/1466627809544.jpg,None,-81.95277547,32.80433767,5,1,6,Dilapidated,0,0,3,M22 041120
474,M22 084,M22,6/23/2016,627 BUCKHEAD ROAD,yes,n/a,no,vacant,n/a,n/a,unknown,n/a,No,No,No,Yes,yes,1-2,n/a,No,No,No,No,No,No,No,No,No,No,No,No,No,n/a,No,No,No,No,No,No,No,No,satisfactory,n/a,No,No,No,No,No,No,Yes,"Housed burned, vacant lot",http://ona.io/api/v1/files/2000188?filename=communitymapuga/attachments/1466723938793.jpg,None,None,None,-81.95411361,32.80779138,0,0,0,Standard,0,0,2,M22 084121
475,M22 084,LME,6/24/2016,627 BUCKHEAD ROAD,no,Unsure,yes,vacant,n/a,n/a,vacant_unoccup,n/a,No,No,No,Yes,yes,3-4,n/a,No,No,No,No,No,No,No,No,No,No,No,No,No,n/a,No,No,No,No,No,No,No,No,satisfactory,n/a,No,No,No,No,No,No,Yes,Vacant lot,http://ona.io/api/v1/files/2002190?filename=communitymapuga/attachments/1466780843699.jpg,None,None,None,-81.95349266,32.80738499,0,0,0,Standard,0,0,2,M22 084122
477,M22 088,Becky,6/24/2016,523 BUCKHEAD ROAD,yes,n/a,no,Single family (no garage),n/a,n/a,occupied,one,No,No,No,Yes,yes,1-2,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,No,major_cleanup_,poor,No,No,No,No,No,Yes,No,None,http://ona.io/api/v1/files/2002116?filename=communitymapuga/attachments/1466783716004.jpg,http://ona.io/api/v1/files/2002115?filename=communitymapuga/attachments/1466783725124.jpg,http://ona.io/api/v1/files/2002117?filename=communitymapuga/attachments/1466783738524.jpg,None,-81.95409999,32.80626087,12,4,16,Dilapidated,1,1,2,M22 088123
478,M22 088,LME,6/24/2016,523 BUCKHEAD ROAD,no,Unknown,yes,Single family (no garage),n/a,n/a,vacant_unoccup,one,No,No,No,Yes,yes,3-4,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,major_cleanup_,poor,No,Yes,No,No,No,No,Yes,Burned down,http://ona.io/api/v1/files/2002253?filename=communitymapuga/attachments/1466783660415.jpg,http://ona.io/api/v1/files/2002254?filename=communitymapuga/attachments/1466783678031.jpg,None,None,-81.95371493,32.80670207,13,8,21,Dilapidated,1,0,2,M22 088124
480,M22 093,Robin,6/23/2016,0 BUCKHEAD/PALMER ROW,no,Unknown,no,Mobile home (single parcels),n/a,n/a,occupied,one,No,No,No,Yes,yes,1-2,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,satisfactory,poor,No,No,No,No,No,No,Yes,None,http://ona.io/api/v1/files/2000194?filename=communitymapuga/attachments/1466726958727.jpg,None,None,None,-81.95415984,32.80469541,1,1,2,Substandard,0,0,2,M22 093125
481,M22 093,Lme,6/24/2016,0 BUCKHEAD/PALMER ROW,no,Unknown,yes,Mobile home (single parcels),n/a,n/a,occupied,one,No,No,No,Yes,yes,1-2,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,satisfactory,poor,No,Yes,No,No,No,No,Yes,None,http://ona.io/api/v1/files/2002213?filename=communitymapuga/attachments/1466782105347.jpg,http://ona.io/api/v1/files/2002214?filename=communitymapuga/attachments/1466782114232.jpg,http://ona.io/api/v1/files/2002212?filename=communitymapuga/attachments/1466782127217.jpg,None,-81.95396319,32.80517337,4,3,7,Dilapidated,1,0,2,M22 093126
482,M22 094,Jacinda,6/23/2016,0 PALMER ROW,no,Unknown,no,Mobile home (single parcels),n/a,n/a,occupied,one,No,No,No,Yes,yes,1-2,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,overgrown__inc,poor,No,No,Yes,No,No,Yes,No,None,http://ona.io/api/v1/files/2000177?filename=communitymapuga/attachments/1466726750483.jpg,http://ona.io/api/v1/files/2000176?filename=communitymapuga/attachments/1466726780966.jpg,http://ona.io/api/v1/files/2000178?filename=communitymapuga/attachments/1466726787133.jpg,None,-81.95485735,32.80465252,8,8,16,Dilapidated,2,1,2,M22 094127
483,M22 094,LME,6/24/2016,0 PALMER ROW,no,Unknown,yes,Mobile home (single parcels),n/a,n/a,occupied,one,No,No,No,Yes,yes,1-2,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,needs_to_be_mo,poor,No,Yes,Yes,No,Yes,No,No,None,http://ona.io/api/v1/files/2002224?filename=communitymapuga/attachments/1466782379897.jpg,http://ona.io/api/v1/files/2002223?filename=communitymapuga/attachments/1466782395586.jpg,http://ona.io/api/v1/files/2002222?filename=communitymapuga/attachments/1466782409430.jpg,http://ona.io/api/v1/files/2002225?filename=communitymapuga/attachments/1466782443534.jpg,-81.95524738,32.80519922,6,5,11,Dilapidated,3,1,2,M22 094128
485,M22 096,Robin,6/23/2016,426 FOGGY FIELD ROAD,yes,n/a,yes,Single family (attached garage),n/a,n/a,occupied,one,No,Yes,No,No,yes,3-4,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,satisfactory,fair,No,No,No,No,No,No,Yes,None,http://ona.io/api/v1/files/2000193?filename=communitymapuga/attachments/1466725656536.jpg,None,None,None,-81.95486669,32.80560253,1,0,1,Standard,0,0,2,M22 096129
486,M22 096,Becky,6/24/2016,426 FOGGY FIELD ROAD,yes,n/a,yes,Single family (attached garage),n/a,n/a,occupied,one,No,Yes,No,No,yes,1-2,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,major_cleanup_,poor,No,No,Yes,No,Yes,No,No,None,http://ona.io/api/v1/files/2002170?filename=communitymapuga/attachments/1466782698373.jpg,http://ona.io/api/v1/files/2002171?filename=communitymapuga/attachments/1466782712687.jpg,http://ona.io/api/v1/files/2002172?filename=communitymapuga/attachments/1466782743091.jpg,None,-81.95495474,32.8054486,3,2,5,Dilapidated,2,1,2,M22 096130
487,M22 097,LME,6/24/2016,0 FOGGY FIELD ROAD,no,434 Foggy Field Rd,yes,Mobile home (single parcels),n/a,n/a,vacant_unoccup,one,No,Yes,No,No,yes,1-2,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,needs_to_be_mo,poor,No,Yes,No,No,No,No,Yes,None,http://ona.io/api/v1/files/2002231?filename=communitymapuga/attachments/1466782744147.jpg,http://ona.io/api/v1/files/2002229?filename=communitymapuga/attachments/1466782752079.jpg,http://ona.io/api/v1/files/2002232?filename=communitymapuga/attachments/1466782781129.jpg,http://ona.io/api/v1/files/2002230?filename=communitymapuga/attachments/1466782803933.jpg,-81.95495692,32.80557993,11,8,19,Dilapidated,1,0,2,M22 097131
488,M22 097,Jacinda,6/23/2016,0 FOGGY FIELD ROAD,no,434  Foggy Field Rd,yes,Other,n/a,Storage unit,vacant_unoccup,one,No,Yes,No,No,yes,1-2,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,needs_to_be_mo,poor,No,No,No,No,No,No,Yes,None,http://ona.io/api/v1/files/2000174?filename=communitymapuga/attachments/1466725218086.jpg,None,None,None,-81.95501435,32.80587964,0,5,5,Dilapidated,0,0,2,M22 097132
491,M22 100,Jacinda,6/23/2016,0 FOGGY FIELD ROAD,no,Unknown vacant lot,no,vacant,n/a,n/a,vacant_unoccup,n/a,No,No,No,Yes,yes,1-2,n/a,No,No,No,No,No,No,No,No,No,No,No,No,No,n/a,No,No,No,No,No,No,No,No,overgrown__inc,n/a,No,No,No,Yes,No,No,No,None,http://ona.io/api/v1/files/2000173?filename=communitymapuga/attachments/1466724722626.jpg,None,None,None,-81.95455442,32.80672486,0,0,0,Standard,1,1,2,M22 100133
492,M22 100,LME,6/24/2016,0 FOGGY FIELD ROAD,no,Unknown,yes,Mobile home (single parcels),n/a,n/a,occupied,one,No,No,No,Yes,yes,1-2,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,satisfactory,poor,No,No,No,No,No,No,Yes,None,http://ona.io/api/v1/files/2002242?filename=communitymapuga/attachments/1466783153766.jpg,http://ona.io/api/v1/files/2002240?filename=communitymapuga/attachments/1466783172864.jpg,http://ona.io/api/v1/files/2002243?filename=communitymapuga/attachments/1466783198746.jpg,http://ona.io/api/v1/files/2002241?filename=communitymapuga/attachments/1466783212588.jpg,-81.95497402,32.80671947,2,2,4,Dilapidated,0,0,2,M22 100134
