primary_city,records,dilapidated,minor repairs needed,moderate rehabilitation needed,sound,substantial rehabilitation needed,well maintained
cochran,1371,7.9,12,19.7,17.1,3.8,39.5
Commerce,600,3,6.5,11.7,13.7,1.3,63.8
hartwell,394,5.3,11.2,24.1,23.1,6.1,30.2
warrenton,3804,9.3,4.8,11.6,10.3,4,60.2
