GEOID,NAME,Ind_ag_forestry,Ind_arts,Ind_construct,Ind_ed_health,Ind_finance_insure,Ind_information,Ind_manuf,Ind_prof_sci,Ind_public,Ind_trade,Ind_trans_utilities,Med_age,Med_yr_struct,Med_yr_struct_own,Med_yr_struct_rent,Pop_hisp,Pop_nonhisp_afam,Pop_nonhisp_asn,Pop_nonhisp_white,Renter_occupied
1317328,"Cochran city, Georgia",5,11,8,26,5,1,11,1,6,2,18,32.4,1976,1972,1978,6,48,0,45,40
1319112,"Commerce city, Georgia",0,12,3,17,2,2,20,8,9,5,13,36.9,1980,1984,1977,8,17,1,71,38
1331908,"Gainesville city, Georgia",1,7,9,19,5,1,26,7,3,3,10,31,1987,1985,1987,40,16,3,39,64
1337144,"Hartwell city, Georgia",1,15,4,15,2,1,26,6,4,1,19,38.5,1969,1966,1980,7,35,2,56,46
1351520,"Millen city, Georgia",8,6,5,26,5,0,14,8,20,0,2,38.5,1966,1967,1972,4,64,0,33,43
1352192,"Monroe city, Georgia",0,13,4,18,3,1,14,9,1,5,20,33.3,1984,1986,1984,2,43,0,53,64
1380592,"Warrenton city, Georgia",4,4,6,12,2,0,28,9,7,1,12,39.3,1975,1975,1977,0,78,3,19,57
