Parcel_ID,review,date,address,add_ver,add_rev,add_corr,proptype,units,othertype,propstatus,stories,add_mlbox,add_house,add_marker,add_Notvis,stsign_vis,streetligh,MIN_No,MIN_RFSWY,MIN_RFTILE,MIN_FOUND,MIN_WINDDO,MIN_WNDPAN,MIN_UNFINW,MIN_MISSID,MIN_INSUL,MIN_ROT,MIN_STEPS,MIN_PORCH,MIN_SKIRT,MIN_RAILS,MAJ_No,MAJ_RFSWY,MAJ_RFTILE,MAJ_FOUND,MAJ_WINDDO,MAJ_SIDING,MAJ_ROT,MAJ_PORCH,MAJ_SKIRT,Yard,GeneralCon,sidewalks,trees,junk,lit_ditch,lit_yard,lit_officials,lit_None,Comments,Pic1,Pic2,Pic3,Pic4,long,lat,MIN_TOTAL,MAJ_TOTAL,MnMj_total,Classify,other_tot,lit_total,rec_id,ParcCount
M20 042,K,6/21/2016,419 MCCOMB DRIVE,yes,NA,yes,single_family_det_garage,No,No,occupied,one,Yes,No,No,No,Yes,one_two,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,satisfactory,good,No,No,Yes,No,No,No,Yes,All stillNo,http://classic.o.io/api/v1/files/1987470?fileme=communitymapuga/attachments/1466522419204.jpg,http://classic.o.io/api/v1/files/1987471?fileme=communitymapuga/attachments/1466522435607.jpg,http://classic.o.io/api/v1/files/1987469?fileme=communitymapuga/attachments/1466522448575.jpg,NA,-81.95367447,32.81098068,2,0,2,Substandard,1,NA,f442c969-06fe-4e26-a207-2e1cbcf075fa,1
M12 076,Becky,6/22/2016,255 NORTH AVENUE,yes,NA,yes,vacant,No,No,vacant_unoccup,NA,No,Yes,No,No,Yes,one_two,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,major_cleanup_,No,No,No,No,No,No,Yes,No,None,http://classic.o.io/api/v1/files/1987473?fileme=communitymapuga/attachments/1466609002152.jpg,http://classic.o.io/api/v1/files/1987474?fileme=communitymapuga/attachments/1466609040674.jpg,http://classic.o.io/api/v1/files/1987475?fileme=communitymapuga/attachments/1466609061510.jpg,NA,-81.94575233,32.81173285,0,0,0,Standard,0,NA,4a2b2665-0109-47c0-8804-c64abfad0207,1
M20 041,K,6/21/2016,427 MCCOMB DRIVE,yes,NA,yes,single_family_att_garage,No,No,occupied,one,Yes,No,No,No,Yes,one_two,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,satisfactory,good,No,No,No,No,No,No,Yes,No,http://classic.o.io/api/v1/files/1987476?fileme=communitymapuga/attachments/1466522646143.jpg,http://classic.o.io/api/v1/files/1987478?fileme=communitymapuga/attachments/1466522653803.jpg,http://classic.o.io/api/v1/files/1987477?fileme=communitymapuga/attachments/1466522684390.jpg,NA,-81.95405937,32.81102934,3,0,3,Substandard,0,NA,92071702-b16e-4189-9825-ead672f607dd,1
M12 101,Becky,6/22/2016,0 OLD WAYNESBORO ROAD,no,1118 Old Waynesboro Rd.,yes,single_family_det_garage,No,No,occupied,one,No,Yes,No,No,Yes,one_two,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,satisfactory,fair,No,No,No,No,No,No,Yes,None,http://classic.o.io/api/v1/files/1987479?fileme=communitymapuga/attachments/1466609415506.jpg,http://classic.o.io/api/v1/files/1987480?fileme=communitymapuga/attachments/1466609457904.jpg,http://classic.o.io/api/v1/files/1987481?fileme=communitymapuga/attachments/1466609477410.jpg,NA,-81.94731362,32.81289272,2,1,3,Substandard,0,NA,b75efc45-a5e2-4795-ae72-1b3a73ae5881,1
M20 050,K,6/21/2016,0 JOSH DRIVE,no,441 McComb,yes,mobile_home_mult_parcels,No,No,occupied,one,No,Yes,No,No,Yes,one_two,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,satisfactory,fair,No,No,No,No,No,No,Yes,No,http://classic.o.io/api/v1/files/1987484?fileme=communitymapuga/attachments/1466522982409.jpg,http://classic.o.io/api/v1/files/1987483?fileme=communitymapuga/attachments/1466523001089.jpg,http://classic.o.io/api/v1/files/1987482?fileme=communitymapuga/attachments/1466523036107.jpg,NA,-81.95450457,32.81101541,2,2,4,Dilapidated,0,NA,48b748ad-0ea1-428f-bf4a-9adf94f25c68,1
M12 103,Becky,6/22/2016,0 HWY 25 NORTH,no,Unknown,no,mobile_home_single_parcels,No,No,occupied,one,No,No,No,Yes,Yes,unsure,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,needs_to_be_mo,fair,No,No,No,No,No,No,Yes,None,http://classic.o.io/api/v1/files/1987485?fileme=communitymapuga/attachments/1466609785971.jpg,http://classic.o.io/api/v1/files/1987486?fileme=communitymapuga/attachments/1466609796418.jpg,NA,NA,-81.94739431,32.81384419,1,1,2,Substandard,0,NA,63806c0e-dba1-4b1e-85a2-a9d8b5269fc7,1
M20 051,K,6/21/2016,0 MAE COURT,no,446 Mae Court,yes,mobile_home_single_parcels,No,No,occupied,one,Yes,No,No,No,Yes,one_two,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,satisfactory,fair,No,No,No,No,No,No,Yes,No,http://classic.o.io/api/v1/files/1987488?fileme=communitymapuga/attachments/1466523285356.jpg,http://classic.o.io/api/v1/files/1987489?fileme=communitymapuga/attachments/1466523323921.jpg,http://classic.o.io/api/v1/files/1987487?fileme=communitymapuga/attachments/1466523335006.jpg,NA,-81.95451322,32.81133124,2,2,4,Dilapidated,0,NA,af17031a-6db7-4f13-8216-a7ed2d7c0955,1
M20 052,K,6/21/2016,410 MAE COURT,yes,NA,yes,mobile_home_single_parcels,No,No,occupied,one,Yes,No,No,No,Yes,three_four,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,satisfactory,fair,No,Yes,Yes,No,No,No,Yes,No,http://classic.o.io/api/v1/files/1987491?fileme=communitymapuga/attachments/1466523547220.jpg,http://classic.o.io/api/v1/files/1987492?fileme=communitymapuga/attachments/1466523557771.jpg,http://classic.o.io/api/v1/files/1987493?fileme=communitymapuga/attachments/1466523577773.jpg,NA,-81.9542219,32.81145028,3,1,4,Substandard,2,NA,83572c2e-2297-4a82-b552-dcabd176cf04,1
M20 054,K,6/21/2016,402 MAE COURT,yes,NA,yes,mobile_home_single_parcels,No,No,occupied,one,Yes,Yes,No,No,Yes,three_four,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,needs_to_be_mo,good,No,No,Yes,No,No,No,Yes,No,http://classic.o.io/api/v1/files/1987494?fileme=communitymapuga/attachments/1466523767141.jpg,http://classic.o.io/api/v1/files/1987495?fileme=communitymapuga/attachments/1466523775689.jpg,http://classic.o.io/api/v1/files/1987496?fileme=communitymapuga/attachments/1466523784272.jpg,NA,-81.95339244,32.81144656,0,0,0,Standard,1,NA,466650e1-2ca6-41fe-80cb-d32bec66d6b2,1
M20 056,K,6/21/2016,407 MAE COURT,no,Unknown,no,mobile_home_single_parcels,No,No,occupied,one,No,No,No,Yes,Yes,one_two,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,overgrown__inc,fair,No,Yes,Yes,No,No,No,Yes,Needs paint job,http://classic.o.io/api/v1/files/1987497?fileme=communitymapuga/attachments/1466524043557.jpg,http://classic.o.io/api/v1/files/1987499?fileme=communitymapuga/attachments/1466524054355.jpg,http://classic.o.io/api/v1/files/1987498?fileme=communitymapuga/attachments/1466524088590.jpg,NA,-81.95379684,32.81199734,3,0,3,Substandard,2,NA,aefef94a-d4f5-4248-ac89-a8c4f7157ad9,1
