Parcel_ID,review,date,address,add_ver,add_rev,proptype,othertype,propstatus,stories,MIN_NO,MIN_RFSWY,MIN_RFTILE,MIN_FOUND,MIN_WINDDO,MIN_WNDPAN,MIN_UNFINW,MIN_MISSID,MIN_INSUL,MIN_ROT,MIN_RAILS,MIN_PORCH,MIN_PORJUNK,MIN_CHIMN,MIN_PAINT,MIN_GUTTER,MAJ_NO,MAJ_RFSWY,MAJ_RFTILE,MAJ_FOUND,MAJ_WINDDO,MAJ_SIDING,MAJ_ROT,MAJ_PORCH,MAJ_CHIMN,YARD_SATIS,YARD_MOW,YARD_OVRGR,YARD_VHINOP,YARD_VHPARK,YARD_GRCOV,YARD_MAJCL,GeneralCon,Comments,Pic1,Pic2,Pic3,Pic4,long,lat,MIN_TOTAL,MAJ_TOTAL,MnMj_total,Classify,other_tot,ParcCount,rec_id,Landlord
M0170112000,Sadie,6/1/2016,No,No,308 Davis street,Single family (no garage),No,OCCUP,one,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Poor,Trash all over yard,http://classic.ona.io/api/v1/files/2035209?filename=communitymapuga/attachments/1464792060093.jpg,http://classic.ona.io/api/v1/files/2035208?filename=communitymapuga/attachments/1464792075284.jpg,http://classic.ona.io/api/v1/files/2035210?filename=communitymapuga/attachments/1464792139439.jpg,No,-83.70908578,33.79068986,8,1,9,Dilapidated,0,1,M0170112000530,1
M0150036000,Taylor,6/1/2016,No,No,507 e church street,Single family (no garage),No,OCCUP,two,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Fair,"Damaged gutter in front of house 
Vegetation growing into the roof",http://classic.ona.io/api/v1/files/2035212?filename=communitymapuga/attachments/1464788393235.jpg,http://classic.ona.io/api/v1/files/2035211?filename=communitymapuga/attachments/1464788430067.jpg,http://classic.ona.io/api/v1/files/2035213?filename=communitymapuga/attachments/1464788446369.jpg,No,-83.70714081,33.79315567,1,0,1,Standard,0,1,M0150036000438,0
M0140179000,Jamie,6/7/2016,No,No,108 Williams St,Single family (no garage),No,OCCUP,two,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Good,No,http://classic.ona.io/api/v1/files/2035214?filename=communitymapuga/attachments/1465310407394.jpg,No,No,No,-83.71278481,33.79725525,0,0,0,Standard,0,1,M0140179000425,0
M0170022000,Taylor,6/1/2016,No,No,512 e church street,Single family (no garage),No,OCCUP,two,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Fair,No,http://classic.ona.io/api/v1/files/2035215?filename=communitymapuga/attachments/1464788715137.jpg,No,No,No,-83.69981328,33.79182126,0,0,0,Standard,0,1,M0170022000516,0
M0140180000,Jamie,6/7/2016,No,No,112 Williams St,Single family (no garage),No,OCCUP,one,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Good,No,http://classic.ona.io/api/v1/files/2035216?filename=communitymapuga/attachments/1465310644404.jpg,No,No,No,-83.71252117,33.79719469,0,0,0,Standard,0,1,M0140180000426,0
M0150038000,Taylor,6/1/2016,No,No,501 e church street,Single family (no garage),No,OCCUP,one,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Fair,No,http://classic.ona.io/api/v1/files/2035217?filename=communitymapuga/attachments/1464789157261.jpg,No,No,No,-83.707847,33.79322156,0,0,0,Standard,0,1,M0150038000440,0
M0140202000,Jamie,6/7/2016,No,No,248 N Midland Av,Single family (no garage),No,OCCUP,one,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Good,No,http://classic.ona.io/api/v1/files/2035218?filename=communitymapuga/attachments/1465310891549.jpg,No,No,No,-83.71168725,33.79784902,0,0,0,Standard,0,1,M0140202000428,0
M0150039000,Taylor,6/1/2016,No,No,415 e church street,Single family (no garage),No,OCCUP,one,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Fair,No,http://classic.ona.io/api/v1/files/2035219?filename=communitymapuga/attachments/1464789417862.jpg,No,No,No,-83.70818974,33.79321737,0,0,0,Standard,0,1,M0150039000441,0
M0140204000,Jamie,6/7/2016,No,No,300 N Midland Av,Single family (no garage),No,OCCUP,one,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Fair,No,http://classic.ona.io/api/v1/files/2035220?filename=communitymapuga/attachments/1465311201036.jpg,No,No,No,-83.71185056,33.7984335,2,0,2,Substandard,0,1,M0140204000430,0
M0150040000,Taylor,6/1/2016,No,No,411 e church street,Single family (no garage),No,OCCUP,one,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Fair,No,http://classic.ona.io/api/v1/files/2035221?filename=communitymapuga/attachments/1464789828382.jpg,No,No,No,-83.70854846,33.79328273,1,0,1,Standard,0,1,M0150040000442,0
M0120103000,Jamie,6/7/2016,No,No,305 Edwards St,Single family (no garage),No,OCCUP,one,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Good,No,http://classic.ona.io/api/v1/files/2035222?filename=communitymapuga/attachments/1465311602397.jpg,No,No,No,-83.71113041,33.79892424,0,0,0,Standard,0,1,M0120103000287,0
M0140205000,Jamie,6/7/2016,No,No,304 Edwards St,Single family (no garage),No,OCCUP,two,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Fair,No,http://classic.ona.io/api/v1/files/2035223?filename=communitymapuga/attachments/1465311870086.jpg,No,No,No,-83.71029054,33.7982999,0,0,0,Standard,0,2,M014020500029,0
M0150041000,Taylor,6/1/2016,No,No,407 e church street,Single family (no garage),No,OCCUP,one,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Good,No,http://classic.ona.io/api/v1/files/2035229?filename=communitymapuga/attachments/1464790140261.jpg,http://classic.ona.io/api/v1/files/2035225?filename=communitymapuga/attachments/1464790156549.jpg,No,No,-83.70880958,33.79315124,1,0,1,Standard,0,1,M0150041000443,0
M0140205000,Jamie,6/7/2016,No,No,310 Edwards St,Duplex,No,OCCUP,one,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Good,No,http://classic.ona.io/api/v1/files/2035231?filename=communitymapuga/attachments/1465312011670.jpg,No,No,No,-83.71036823,33.79844369,0,0,0,Standard,0,2,M014020500028,0
M0160111000,Taylor,6/1/2016,No,No,403 e church street,Single family (no garage),No,OCCUP,one,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Fair,No,http://classic.ona.io/api/v1/files/2035235?filename=communitymapuga/attachments/1464790719094.jpg,No,No,No,-83.70912162,33.79294919,1,0,1,Standard,0,1,M0160111000507,0
M0120106000,Jamie,6/7/2016,No,No,312 Edwards St,Single family (no garage),No,OCCUP,one,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Good,No,http://classic.ona.io/api/v1/files/2035237?filename=communitymapuga/attachments/1465312241152.jpg,http://classic.ona.io/api/v1/files/2035236?filename=communitymapuga/attachments/1465312263505.jpg,http://classic.ona.io/api/v1/files/2035238?filename=communitymapuga/attachments/1465312285628.jpg,No,-83.71010747,33.79848489,0,0,0,Standard,1,1,M0120106000290,0
M0160110000,Taylor,6/1/2016,No,No,307 e church street,Single family (no garage),No,OCCUP,one,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Fair,No,http://classic.ona.io/api/v1/files/2035239?filename=communitymapuga/attachments/1464791041299.jpg,No,No,No,-83.7097038,33.79289227,0,0,0,Standard,0,1,M0160110000506,0
M0120107000,Jamie,6/7/2016,No,No,316 Edwards St,Single family (garage),No,OCCUP,one,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Good,Vegetation growing some in gutters,http://classic.ona.io/api/v1/files/2035240?filename=communitymapuga/attachments/1465312561933.jpg,No,No,No,-83.70985958,33.79860377,0,0,0,Standard,0,1,M0120107000291,0
M0160116000,Taylor,6/1/2016,No,No,308 milledge avenue,Single family (no garage),No,OCCUP,one,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Fair,Several additions,http://classic.ona.io/api/v1/files/2035241?filename=communitymapuga/attachments/1464791397461.jpg,http://classic.ona.io/api/v1/files/2035242?filename=communitymapuga/attachments/1464791415663.jpg,No,No,-83.709524,33.79199387,0,0,0,Standard,0,1,M0160116000511,0
M0120108000,Jamie,6/7/2016,No,No,320 Edwards St,Single family (no garage),No,FOR_SALE,two,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Good,Mattress in yard for awhile,http://classic.ona.io/api/v1/files/2035244?filename=communitymapuga/attachments/1465312777966.jpg,http://classic.ona.io/api/v1/files/2035243?filename=communitymapuga/attachments/1465312800285.jpg,No,No,-83.70961271,33.7987302,0,0,0,Standard,1,1,M0120108000292,0
M0160127000,Taylor,6/1/2016,No,No,307 Davis street,Single family (no garage),No,OCCUP,one,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Poor,No,http://classic.ona.io/api/v1/files/2035245?filename=communitymapuga/attachments/1464792079565.jpg,http://classic.ona.io/api/v1/files/2035247?filename=communitymapuga/attachments/1464792109301.jpg,http://classic.ona.io/api/v1/files/2035246?filename=communitymapuga/attachments/1464792129286.jpg,No,-83.7093429,33.7910299,3,2,5,Dilapidated,0,1,M0160127000513,1
M0120109000,Jamie,6/7/2016,No,No,324 Edwards St,Single family (no garage),No,OCCUP,one,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Good,Wooden ramp to porch in front,http://classic.ona.io/api/v1/files/2035249?filename=communitymapuga/attachments/1465313019178.jpg,http://classic.ona.io/api/v1/files/2035248?filename=communitymapuga/attachments/1465313055468.jpg,No,No,-83.70920316,33.79858787,0,0,0,Standard,0,1,M0120109000293,0
M0140177000,Taylor,6/7/2016,No,No,109 Williams Street,Single family (no garage),No,OCCUP,one,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Good,No,http://classic.ona.io/api/v1/files/2035250?filename=communitymapuga/attachments/1465310366122.jpg,No,No,No,-83.71288868,33.79777186,0,0,0,Standard,0,1,M0140177000424,0
M0130063000,Jamie,6/7/2016,No,No,400 Edwards St,Single family (no garage),No,OCCUP,two,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Good,No,http://classic.ona.io/api/v1/files/2035254?filename=communitymapuga/attachments/1465313331377.jpg,No,No,No,-83.70898671,33.79905422,0,0,0,Standard,0,1,M0130063000366,0
M0140176000,Taylor,6/7/2016,No,No,113 Williams Street,Single family (no garage),No,OCCUP,one,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Good,No,http://classic.ona.io/api/v1/files/2035256?filename=communitymapuga/attachments/1465310657381.jpg,No,No,No,-83.71246387,33.79786202,0,0,0,Standard,0,1,M0140176000423,0
M0120100000,Jamie,6/7/2016,No,No,206 Bold Springs Av,Single family (no garage),No,VACANT1,one,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Fair,A little overgrowth,http://classic.ona.io/api/v1/files/2035257?filename=communitymapuga/attachments/1465313886475.jpg,No,No,No,-83.7116257,33.79878291,1,0,1,Standard,0,1,M0120100000285,0
M0140181000,Taylor,6/7/2016,No,No,116 Williams street,Single family (no garage),No,OCCUP,one,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Good,No,http://classic.ona.io/api/v1/files/2035258?filename=communitymapuga/attachments/1465310812127.jpg,No,No,No,-83.71225066,33.79731437,0,0,0,Standard,0,1,M0140181000427,0
