primary_city,survey,ext_cracked,ext_repaint,ext_replace,found_cracked,found_partreplace,roof_gutters,roof_newstruct,roof_reroof_part,roof_reroof_tot,roof_shingles,stairs_cracked,stairs_majrepair,stairs_repaint,window_crackedpanes,window_majreplace,window_minreplace,window_repaint,yard_junk,yard_missingcover,yard_porchstorage,yard_weeds
millen,v1,29.6,0,17.1,10.7,,,12.7,,,29.3,,17.2,,10.5,12.3,12.3,,0,0,0,0
monroe,v1,16.6,23.4,2.2,1.3,,,3.4,,,11.7,,2.8,,6.6,3.8,4.8,,8.4,16,8.1,16.8
cochran,v2,12.9,20.6,7.1,13.1,8,5.2,5.9,7.6,5.4,5.8,13.5,7.4,18.3,12.7,4.4,5.7,19.2,0,0,0,0
Commerce,v2,7.6,13,4.2,7.1,3.5,6.6,2.6,3.4,3.5,6.8,11,3.4,10.1,8.1,1.4,2.3,10.5,2.1,6.8,4.3,8.4
hartwell,v2,25.2,27.8,15.8,22.8,13.6,26.8,13.4,12.5,13.2,20.2,26.6,13.6,24.9,18.6,9.9,13.2,29.2,9.4,12,6.1,12.7
warrenton,v2,7,12.8,4.4,9.4,2.6,1.1,4.4,2.8,2.6,8.7,8.9,9.8,6.8,6,5,2.3,8.5,0,0,0,0
All,,16.1,15,6.9,7.6,2.7,3.2,6,2.6,2.3,13.1,5.7,7.6,6.1,8.6,5.6,6.1,6.7,3.5,6.5,3.4,7
