record_id,parcel_num,date,primary_city
10ce97c5-6358-44cc-a8b0-d736ebd99702,A09    051,2018-08-17,cochran
78aacd64-0480-4541-8a93-e0c06b14d91c,A09    052,2018-08-17,cochran
99ea2ff4-08f8-44d2-9b2a-993a60613f32,A15    008,2018-08-17,cochran
83ed401d-0a12-4a8e-b328-bd88eae37a3c,A15    029,2018-08-17,cochran
244e56b2-ee26-4fba-897f-8aa162c210f1,A15    028,2018-08-17,cochran
09397677-23f3-409d-8366-aaded27652b4,A15    025,2018-08-17,cochran
52873d6f-88a5-4b26-ad53-5e3e2c8c8e1b,A09    053,2018-08-17,cochran
2480b507-51bf-4559-a7a4-00c1f8ff7d46,A15    038,2018-08-17,cochran
ef180dc8-cef8-4b35-9889-53e728760e5a,A15    005,2018-08-17,cochran
fff8b33b-ff88-4b59-9f35-12357bf848b7,A15    036,2018-08-17,cochran
ac042284-a465-48c2-8bc4-6c80dc597f02,A15    026A,2018-08-17,cochran
31539e54-2671-4c5a-b297-c2485bd0caa3,A15    024,2018-08-17,cochran
54f850e9-5513-4291-80bf-073a343485b3,A16    002,2018-08-17,cochran
51a2fab3-7b81-488b-8587-48aa415b24b7,A09    056,2018-08-17,cochran
f8aa3a70-2348-4b49-a8fe-43156a5fd6b5,A09    057,2018-08-17,cochran
c88fbf8a-b097-4c2c-ab8b-07e5a0e468a1,A16    010,2018-08-17,cochran
5c9edb22-22be-43d4-a28f-85b70e4a6ab4,A09    058,2018-08-17,cochran
d8401ff7-18aa-4ec1-a554-dbeac952f9e0,A15    035,2018-08-17,cochran
c201a876-0da6-4928-bcef-6387a219d1d6,A16    006,2018-08-17,cochran
59cf1e6a-3170-4a75-ab2b-cf637f949ac9,A15    034,2018-08-17,cochran
1711abd5-a9a2-4a8d-aa49-26fc055f27f8,A16    007,2018-08-17,cochran
82f91b18-4b6f-4849-a2fa-77838580669c,A15    039,2018-08-17,cochran
625444b8-0005-4886-a02a-acdd22e32fa5,A15    023,2018-08-17,cochran
64391c2e-590a-41d6-80e5-792262eaca27,A15    032,2018-08-17,cochran
c66724ad-f3f2-4f88-94be-07e694057584,A16    008,2018-08-17,cochran
21f3a1c1-196c-4fb0-aecf-e41268c355c6,A09    050,2018-08-17,cochran
27465644-b764-464d-b566-6c94eecded8e,A15    031,2018-08-17,cochran
52f0867d-5c91-446e-bcdd-237362d8e7ea,A09    054,2018-08-17,cochran
f7db76e4-ef91-49f7-96fc-268504fe398f,A09    049,2018-08-17,cochran
ddaf7151-29ef-4709-97fe-43ac72799454,A13    104,2018-08-22,cochran
4c7601b0-47e7-4638-9496-2c25bf257a6b,A14    001,2018-08-22,cochran
ecf7e05a-5186-47ca-b627-4f7ad704b0f5,A14    003,2018-08-22,cochran
e65a63de-cebc-4081-a5b5-288542b126f3,A14    002,2018-08-22,cochran
8e54be7c-7f78-4a97-808d-55d7d4fd9c7f,A13    107,2018-08-22,cochran
8d7261cf-615f-4f03-b228-cd73255cebad,A13    088,2018-08-22,cochran
717433fd-6389-48dd-a6bc-3379fa30c0ae,A13    106,2018-08-22,cochran
08545aaa-b8ee-43b6-bb10-474457065460,A13    087,2018-08-22,cochran
cb201e15-358e-4c8c-b848-37c0f772783f,A13    077,2018-08-22,cochran
26d1b0ec-e248-4bc9-8352-fd3e22174cbf,A13    085,2018-08-22,cochran
80051d03-3140-4c70-b6d2-6c581814838b,A13    078,2018-08-22,cochran
3008b423-baf7-42ac-9d89-6ef892492c0b,A13    084,2018-08-22,cochran
9dcef8ad-7bed-4a0d-a28b-dc7539a83055,A13    083,2018-08-22,cochran
6b880ec0-a90d-453e-8c29-16881f3be2e3,A13    073,2018-08-22,cochran
13b60a08-9961-4820-9214-b937bb455d68,A13    064,2018-08-22,cochran
cef1b1bc-874a-4a4b-b718-33697534ee29,A13    067,2018-08-22,cochran
a6bc3977-c7db-4d6a-b1e6-0a7c9af4d6c1,A13    072,2018-08-22,cochran
d64efb1c-8886-4a38-87f7-99b010973b2c,A13    063,2018-08-22,cochran
68ee8125-598e-4249-b04e-f0c938f882fc,A13    062,2018-08-22,cochran
0a0443f9-13a1-433b-b6b4-7b8f6e6cda59,A13    068,2018-08-22,cochran
71c7e467-271c-464a-94e4-19d61c43a569,A13    061,2018-08-22,cochran
25e89111-9c0f-4e73-80f8-4c0d43dbf8f2,A13    069,2018-08-22,cochran
91060d23-d0fe-4e51-a5c0-c55a9dae89d1,A13    071,2018-08-22,cochran
f30a7fb0-231f-4f64-8984-dfe39c12b3e0,A07    086,2018-08-22,cochran
fc4b541a-f00e-4843-9a3e-b28c517ad42b,A13    044,2018-08-22,cochran
