repropkey,realkey,digclass,digstrat,occupancy,yr_built,efyr_built,grade,obsv_cond,no_bedrms,no_rooms,foundation,ext_walls,roofing,roof_shape,floor_cons,b_a_opt,sqb_area,sqb_fin,sqa_area,sqa_fin,db_desc,db_fin,basemtqual,d_attic,atticqual,floor_fin,int_wall,int_ceil,heat,pl_std,pl_xtra,fullbaths,halfbaths,stht_code,heatedarea,pfunc_dep,pec_dep,pcom,phy_dep,phy_ovr,ovr_val,timp_val,ovr_rsn,cdu,ovrdate,adj_points,apprname,rcn,calc_value,exists,sketch,photo,statehsflg,mavorig,mav,house_no,extension,stdirect,street_nam,sttype,unit,quad,mavovr,sb346val,localhsflg,sb346add
830,1287,R,1,1,1963,1981,1.00,3,0,5,1,1,1,2,1,1,0,0.00,0,0.00,1,1,3,1,3,2,1,8,1,1,2,1,1,1,1444,1.00,1.00,1.00,0.64,0.00,0,66816,,1.00,18991230,1044.00,"CLEGG BAZEMORE, AVTACS",104400,66816,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
831,1290,R,1,1,1950,1973,1.00,3,0,4,1,1,1,3,1,1,0,0.00,0,0.00,1,1,3,1,3,2,1,8,1,1,0,1,0,1,1964,1.00,1.00,1.00,0.49,0.00,0,59878,,1.00,18991230,1222.00,"MARC BOHN, AVTACS",122200,59878,0,-1,-1,-1,0,0,0,,,,,,,0,0,0,0
832,1293,R,1,1,1966,1971,1.10,3,0,10,1,1,1,2,1,1,0,0.00,0,0.00,1,1,3,1,3,2,1,8,1,1,3,2,0,1,2564,1.00,1.00,1.00,0.45,0.00,0,85365,,1.00,18991230,1897.00,"CLEGG BAZEMORE, AVTACS",189700,85365,0,-1,-1,-1,0,0,0,,,,,,,0,0,0,0
833,1294,R,1,1,1955,1984,1.05,3,3,7,1,10,1,2,1,0,0,0.00,0,0.00,0,0,3,0,3,2,1,8,1,1,3,2,0,1,2138,1.00,1.00,1.00,0.69,0.00,0,93978,,1.00,18991230,1362.00,"CLEGG BAZEMORE, AVTACS",136200,0,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
834,1296,R,1,4,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0,0.00,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,1.00,1.00,1.00,0.00,0.00,0,36521,,1.00,18991230,0.00,"MARC BOHN, AVTACS",0,34340,0,0,0,0,0,0,0,,,,,,,0,0,0,0
835,1297,R,1,1,1965,1973,0.85,3,3,5,1,10,1,2,1,0,0,0.00,0,0.00,0,0,3,0,3,2,1,8,1,1,0,1,0,0,1924,1.00,1.00,1.00,0.49,0.00,0,46795,,1.00,18991230,955.00,"CLEGG BAZEMORE, AVTACS",95500,46795,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
836,1300,R,1,1,1962,1980,1.00,3,3,8,1,1,1,2,1,0,0,0.00,0,0.00,0,0,3,0,3,5,1,8,1,1,6,3,0,1,1882,0.95,1.00,1.00,0.62,0.00,0,74862,,1.00,18991230,1271.00,"MARC BOHN, AVTACS",127100,74862,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
837,1303,R,1,1,1950,1975,0.75,3,2,4,1,2,1,2,1,1,0,0.00,0,0.00,1,1,3,1,3,2,1,8,7,1,0,1,0,1,1056,1.00,1.00,1.00,0.45,0.00,0,22230,,1.00,18991230,494.00,"MARC BOHN, AVTACS",49400,22230,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
838,1306,R,1,1,1956,1970,1.05,3,0,8,1,1,1,2,1,1,0,0.00,0,0.00,1,1,3,1,3,2,1,8,1,1,3,2,0,1,2101,1.00,1.00,1.00,0.43,0.00,0,72025,,1.00,18991230,1675.00,CHRIS KIGHT - AVTACS,167500,72025,0,-1,-1,-1,0,0,0,,,,,,,0,0,0,0
839,1308,R,1,4,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0,0.00,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,1.00,1.00,1.00,0.00,0.00,0,4676,,1.00,18991230,0.00,"CLEGG BAZEMORE, AVTACS",0,4676,0,0,0,0,0,0,0,,,,,,,0,0,0,0
840,1309,R,1,1,1975,1976,0.85,3,0,5,1,2,1,2,1,1,0,0.00,0,0.00,1,1,3,1,3,2,1,8,7,1,0,1,0,1,1191,1.00,1.00,1.00,0.55,0.00,0,34540,,1.00,18991230,628.00,"MARC BOHN, AVTACS",62800,34540,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
842,1311,R,1,1,1989,1989,0.60,3,0,4,2,8,1,2,1,1,0,0.00,0,0.00,1,1,3,1,3,2,1,8,7,1,0,1,0,1,720,1.00,1.00,1.00,0.72,0.00,0,19512,,1.00,18991230,271.00,CHRIS KIGHT - AVTACS,27100,19512,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
844,1313,R,1,1,1970,1976,1.10,3,3,5,1,3,1,2,1,0,0,0.00,0,0.00,0,0,3,0,3,2,4,8,1,1,3,2,0,0,2630,1.00,1.00,1.00,0.55,0.00,0,93335,,1.00,18991230,1697.00,"CLEGG BAZEMORE, AVTACS",169700,93335,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
