repropkey,realkey,digclass,digstrat,occupancy,yr_built,efyr_built,grade,obsv_cond,no_bedrms,no_rooms,foundation,ext_walls,roofing,roof_shape,floor_cons,b_a_opt,sqb_area,sqb_fin,sqa_area,sqa_fin,db_desc,db_fin,basemtqual,d_attic,atticqual,floor_fin,int_wall,int_ceil,heat,pl_std,pl_xtra,fullbaths,halfbaths,stht_code,heatedarea,pfunc_dep,pec_dep,pcom,phy_dep,phy_ovr,ovr_val,timp_val,ovr_rsn,cdu,ovrdate,adj_points,apprname,rcn,calc_value,exists,sketch,photo,statehsflg,mavorig,mav,house_no,extension,stdirect,street_nam,sttype,unit,quad,mavovr,sb346val,localhsflg,sb346add
1,26,A,1,1,1900,1970,0.85,3,0,4,1,4,1,2,1,1,0,0.00,0,0.00,1,1,3,1,3,2,1,8,1,1,0,1,0,1,1680,1.00,1.00,1.00,0.43,0.00,0,44333,,1.00,18991230,1031.00,"MARC BOHN, AVTACS",103100,44333,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
2,36,A,1,1,1900,1959,1.05,3,0,8,1,2,6,2,1,2,0,0.00,520,1.00,1,1,3,3,3,5,1,8,7,1,3,2,0,2,2938,0.90,1.00,1.00,0.27,0.00,0,39949,,1.00,18991230,1644.00,"MARC BOHN, AVTACS",164400,39949,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
3,52,A,1,1,1920,1963,0.75,3,0,6,1,8,6,2,1,1,0,0.00,0,0.00,1,1,3,1,3,4,6,5,7,1,0,1,0,1,884,0.90,1.00,1.00,0.25,0.00,0,10845,,1.00,18991230,482.00,CHRIS KIGHT - AVTACS,48200,10845,0,-1,-1,-1,0,0,0,,,,,,,0,0,0,0
4,60,A,1,1,1960,1975,0.95,3,0,5,1,1,1,3,1,1,0,0.00,0,0.00,1,1,3,1,3,2,1,8,1,1,0,1,0,1,1369,1.00,1.00,1.00,0.53,0.00,0,47541,,1.00,18991230,897.00,"CLEGG BAZEMORE, AVTACS",89700,47541,0,-1,-1,-1,0,0,0,,,,,,,0,0,0,0
6,71,A,1,1,1955,1980,0.80,3,0,0,1,2,10,2,1,1,0,0.00,0,0.00,0,0,3,0,3,5,7,5,1,1,0,1,0,0,1360,0.90,1.00,1.00,0.54,0.00,0,41456,,1.00,18991230,853.00,"MARC BOHN, AVTACS",85300,41456,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
10,125,A,1,1,1945,1945,0.70,1,0,6,1,8,6,2,1,1,0,0.00,0,0.00,1,1,3,1,3,2,1,8,7,1,0,1,0,1,1040,0.50,1.00,1.00,0.10,0.00,0,2655,,1.00,18991230,531.00,"MARC BOHN, AVTACS",53100,2655,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
11,126,R,1,1,1975,1985,0.85,3,0,6,1,1,1,2,1,1,0,0.00,0,0.00,1,1,3,1,3,2,1,8,1,1,3,2,0,7,1320,1.00,1.00,1.00,0.71,0.00,0,54954,,1.00,18991230,774.00,"CLEGG BAZEMORE, AVTACS",77400,0,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
12,7180,R,1,1,1940,1965,0.80,3,0,0,2,2,6,2,1,1,0,0.00,0,0.00,1,1,3,1,3,1,1,8,7,1,3,2,0,1,1948,0.90,1.00,1.00,0.28,0.00,0,22579,,1.00,18991230,896.00,"MARC BOHN, AVTACS",89600,0,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
14,150,A,1,1,1960,1976,1.10,3,0,5,1,1,3,3,1,1,0,0.00,0,0.00,1,1,3,1,3,2,1,8,1,1,2,1,1,1,1333,1.00,1.00,1.00,0.55,0.00,0,60280,,1.00,18991230,1096.00,"MARC BOHN, AVTACS",109600,60280,0,-1,-1,-1,0,0,0,,,,,,,0,0,0,0
15,158,A,1,1,1964,1976,0.90,3,0,6,1,1,1,2,1,1,0,0.00,0,0.00,1,1,3,1,3,2,1,8,1,1,2,1,1,0,1471,1.00,1.00,1.00,0.55,0.00,0,47795,,1.00,18991230,869.00,"MARC BOHN, AVTACS",86900,47795,0,-1,-1,-1,0,0,0,,,,,,,0,0,0,0
16,159,A,1,1,1950,1973,0.85,3,0,6,1,2,1,2,1,1,0,0.00,0,0.00,1,1,3,1,3,2,2,8,1,1,0,1,0,1,1728,1.00,1.00,1.00,0.49,0.00,0,43512,,1.00,18991230,888.00,"MARC BOHN, AVTACS",88800,43512,0,-1,-1,-1,0,0,0,,,,,,,0,0,0,0
17,7093,A,1,1,1900,1960,0.70,3,0,5,1,8,6,2,1,1,0,0.00,0,0.00,1,1,3,1,3,4,6,5,7,1,0,1,0,0,1163,1.00,1.00,1.00,0.22,0.00,0,11022,,1.00,18991230,501.00,CHRIS KIGHT - AVTACS,50100,11022,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
20,275,A,1,1,1983,1983,1.10,3,4,9,1,11,3,2,1,1,0,0.00,0,0.00,1,1,3,1,3,2,1,8,1,1,5,2,1,1,2457,1.00,1.00,1.00,0.67,0.00,0,131320,,1.00,18991230,1960.00,"MARC BOHN, AVTACS",196000,0,0,-1,-1,-1,0,0,0,,,,,,,0,0,0,0
21,304,A,1,1,1992,1992,1.05,3,3,7,1,2,1,2,1,1,0,0.00,0,0.00,1,1,3,3,3,2,1,8,1,1,5,2,1,1,2282,1.00,1.00,1.00,0.80,0.00,0,151920,,1.00,18991230,1899.00,"CLEGG BAZEMORE, AVTACS",189900,0,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
23,333,A,1,1,1970,1981,1.10,3,0,8,1,1,1,2,1,1,0,0.00,0,0.00,1,1,3,1,3,2,1,8,1,1,3,2,0,1,1846,1.00,1.00,1.00,0.64,0.00,0,95232,,1.00,18991230,1488.00,CHRIS KIGHT - AVTACS,148800,95232,0,-1,-1,-1,0,0,0,,,,,,,0,0,0,0
24,396,A,1,1,1950,1970,0.90,3,3,7,1,10,1,2,1,0,0,0.00,0,0.00,0,0,3,0,3,4,6,5,7,1,0,1,0,0,1504,1.00,1.00,1.00,0.43,0.00,0,34701,,1.00,18991230,807.00,"MARC BOHN, AVTACS",80700,34701,0,-1,-1,-1,0,0,0,,,,,,,0,0,0,0
26,7087,A,1,1,1900,1950,0.75,3,0,0,2,7,6,2,1,0,0,0.00,0,0.00,0,0,3,0,3,2,1,8,7,1,0,1,0,0,1542,0.50,1.00,1.00,0.20,0.00,0,6900,,1.00,18991230,690.00,CHRIS KIGHT - AVTACS,69000,6900,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
27,452,A,1,1,1900,1963,0.70,3,0,4,1,2,6,2,1,1,0,0.00,0,0.00,1,1,3,1,3,4,6,5,7,1,0,1,0,1,948,0.90,1.00,1.00,0.25,0.00,0,10125,,1.00,18991230,450.00,"CLEGG BAZEMORE, AVTACS",45000,10125,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
29,479,A,1,1,1900,1972,0.80,3,0,6,2,7,1,2,1,1,0,0.00,0,0.00,1,1,3,1,3,4,6,5,7,1,0,1,0,1,1064,1.00,1.00,1.00,0.39,0.00,0,23283,,1.00,18991230,597.00,CHRIS KIGHT - AVTACS,59700,23283,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
32,542,A,1,1,1975,1986,1.20,3,3,7,1,1,3,2,1,2,2280,0.60,0,0.00,1,1,3,1,3,2,1,8,1,1,3,2,0,1,2280,1.00,1.00,1.00,0.73,0.00,0,227249,,1.00,18991230,3113.00,"CLEGG BAZEMORE, AVTACS",311300,227249,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
33,550,R,1,1,1951,1979,0.80,3,0,4,1,10,1,2,1,0,0,0.00,0,0.00,0,0,3,0,3,2,1,8,1,1,0,1,0,1,936,1.00,1.00,1.00,0.53,0.00,0,29203,,1.00,18991230,551.00,"MARC BOHN, AVTACS",55100,29203,0,-1,-1,-1,0,0,0,,,,,,,0,0,0,0
34,566,A,1,1,1973,1978,0.95,3,3,5,1,10,1,2,1,0,0,0.00,0,0.00,0,0,3,0,3,2,1,8,7,1,3,2,0,1,1488,1.00,1.00,1.00,0.58,0.00,0,52084,,1.00,18991230,898.00,"CLEGG BAZEMORE, AVTACS",89800,52084,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
35,7181,A,1,1,1960,1976,1.00,3,3,6,1,1,3,3,1,2,0,0.00,0,0.00,0,0,0,0,0,2,1,8,1,1,0,1,0,0,1318,1.00,1.00,1.00,0.55,0.00,0,51645,,1.00,18991230,939.00,"MARC BOHN, AVTACS",93900,51645,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
36,587,A,1,1,1970,1980,1.05,3,0,9,1,1,10,3,1,1,0,0.00,0,0.00,1,1,3,1,3,2,1,8,1,1,3,2,0,1,1975,1.00,1.00,1.00,0.62,0.00,0,92938,,1.00,18991230,1499.00,"CLEGG BAZEMORE, AVTACS",149900,92938,0,-1,-1,-1,0,0,0,,,,,,,0,0,0,0
37,7206,A,1,1,1947,1968,0.90,3,0,5,3,4,1,2,2,1,0,0.00,0,0.00,1,1,3,1,3,2,9,98,1,1,0,1,0,0,1162,0.90,1.00,1.00,0.40,0.00,0,26460,,1.00,18991230,735.00,"CLEGG BAZEMORE, AVTACS",73500,26460,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
39,617,A,1,1,1950,1970,0.95,3,0,6,1,8,1,2,1,1,0,0.00,0,0.00,1,1,3,1,3,2,1,8,1,1,0,1,0,1,1218,1.00,1.00,1.00,0.43,0.00,0,34142,,1.00,18991230,794.00,"CLEGG BAZEMORE, AVTACS",79400,34142,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
40,630,A,1,1,1970,1980,1.05,3,3,6,1,1,1,3,1,0,0,0.00,0,0.00,0,0,3,0,3,2,1,8,1,1,2,1,1,0,1474,1.00,1.00,1.00,0.62,0.00,0,67332,,1.00,18991230,1086.00,"CLEGG BAZEMORE, AVTACS",108600,67332,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
42,659,A,1,1,1950,1975,0.80,3,3,5,1,7,6,2,1,1,0,0.00,0,0.00,1,1,3,1,3,2,1,8,7,1,0,1,0,0,1374,1.00,1.00,1.00,0.45,0.00,0,31095,,1.00,18991230,691.00,"MARC BOHN, AVTACS",69100,31095,0,-1,-1,-1,0,0,0,,,,,,,0,0,0,0
43,674,A,1,1,1977,1987,1.15,3,3,7,1,3,1,2,1,0,0,0.00,0,0.00,0,0,3,0,3,2,1,8,1,1,3,2,0,0,2350,1.00,1.00,1.00,0.74,0.00,0,127280,,1.00,18991230,1720.00,"CLEGG BAZEMORE, AVTACS",172000,0,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
44,694,A,1,1,1952,1970,0.85,3,0,4,1,4,1,2,1,0,0,0.00,0,0.00,0,0,3,0,3,2,1,8,7,1,0,1,0,1,780,1.00,1.00,1.00,0.43,0.00,0,21027,,1.00,18991230,489.00,CASEY WARREN,48900,21027,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
45,719,A,1,1,1940,1950,0.95,1,0,0,1,2,6,2,1,0,0,0.00,0,0.00,0,0,3,0,3,4,6,5,7,1,0,1,0,1,1280,0.50,1.00,1.00,0.10,0.00,0,3910,,1.00,18991230,782.00,"CLEGG BAZEMORE, AVTACS",78200,3910,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
46,6330,A,1,1,1896,1970,1.05,3,3,9,1,8,1,2,1,0,0,0.00,0,0.00,0,0,3,0,3,3,1,8,1,1,3,2,0,1,2006,0.90,1.00,1.00,0.43,0.00,0,51742,,1.00,18991230,1337.00,"MARC BOHN, AVTACS",133700,51742,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
48,7173,C,1,1,1842,1968,1.25,3,4,11,1,2,6,3,1,0,0,0.00,0,0.00,0,0,3,0,3,5,3,7,7,1,6,3,0,0,4906,0.90,1.00,1.00,0.40,0.00,0,105732,,1.00,18991230,2937.00,CASEY WARREN,293700,0,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
50,6759,A,1,1,1975,1975,0.75,3,3,5,1,2,1,2,1,1,0,0.00,0,0.00,1,1,3,1,3,2,1,8,1,1,3,2,0,1,1650,1.00,1.00,1.00,0.45,0.00,0,33615,,1.00,18991230,747.00,"MARC BOHN, AVTACS",74700,33615,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
51,847,A,1,1,1900,1962,1.00,3,0,6,1,8,6,2,1,1,0,0.00,0,0.00,1,1,3,1,3,1,1,8,1,1,0,1,0,1,1576,0.90,1.00,1.00,0.31,0.00,0,27230,,1.00,18991230,976.00,"MARC BOHN, AVTACS",97600,27230,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
52,848,A,1,1,1920,1920,0.70,2,0,4,2,2,6,2,1,1,0,0.00,0,0.00,1,1,3,1,3,4,6,5,7,0,0,0,0,0,896,0.90,1.00,1.00,0.15,0.00,0,5103,,1.00,18991230,378.00,"MARC BOHN, AVTACS",37800,5103,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
54,877,A,1,1,1947,1965,1.00,3,3,6,1,7,6,2,1,1,0,0.00,0,0.00,1,1,3,1,3,2,6,5,7,1,0,1,0,1,1344,0.90,1.00,1.00,0.35,0.00,0,25799,,1.00,18991230,819.00,"CLEGG BAZEMORE, AVTACS",81900,25799,0,-1,-1,-1,0,0,0,,,,,,,0,0,0,0
56,7154,A,1,1,1933,1970,1.05,3,0,6,1,10,3,2,1,1,0,0.00,0,0.00,1,1,3,1,3,2,1,8,1,1,0,1,0,1,1470,0.90,1.00,1.00,0.43,0.00,0,45821,,1.00,18991230,1184.00,"CLEGG BAZEMORE, AVTACS",118400,0,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
57,893,A,1,1,1923,1970,1.05,3,0,6,1,2,10,3,1,1,0,0.00,0,0.00,1,1,3,1,3,2,1,8,1,1,2,1,1,1,1920,0.90,1.00,1.00,0.43,0.00,0,54954,,1.00,18991230,1420.00,"CLEGG BAZEMORE, AVTACS",142000,54954,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
58,897,A,1,1,1900,1970,1.05,3,3,7,2,10,10,3,1,1,0,0.00,0,0.00,1,1,3,1,3,2,1,3,7,1,0,1,0,0,2180,0.90,1.00,1.00,0.43,0.00,0,52826,,1.00,18991230,1365.00,"MARC BOHN, AVTACS",136500,52826,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
59,915,R,1,1,1970,1976,0.85,2,2,4,1,10,1,2,1,1,0,0.00,0,0.00,1,1,3,1,3,2,1,8,7,1,3,2,0,1,1544,1.00,1.00,1.00,0.41,0.00,0,31734,,1.00,18991230,774.00,"CLEGG BAZEMORE, AVTACS",77400,31734,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
60,930,A,1,1,1972,1982,1.10,3,0,0,1,1,1,2,1,2,348,1.00,0,0.00,4,3,3,1,3,2,1,8,1,1,3,2,0,0,2030,1.00,1.00,1.00,0.66,0.00,0,105138,,1.00,18991230,1593.00,"MARC BOHN, AVTACS",159300,105138,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
61,931,A,1,1,1968,1968,0.85,3,0,6,1,10,1,2,1,1,0,0.00,0,0.00,1,1,3,1,3,2,1,8,1,1,3,2,0,1,1500,1.00,1.00,1.00,0.40,0.00,0,32080,,1.00,18991230,802.00,"MARC BOHN, AVTACS",80200,32080,0,-1,-1,-1,0,0,0,,,,,,,0,0,0,0
62,943,A,1,1,1953,1973,0.95,3,0,6,1,10,1,2,1,1,0,0.00,0,0.00,1,1,3,1,3,2,1,8,1,1,0,1,0,1,1424,1.00,1.00,1.00,0.49,0.00,0,45031,,1.00,18991230,919.00,"MARC BOHN, AVTACS",91900,45031,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
64,958,A,1,1,1967,1979,1.00,3,3,4,1,1,3,3,1,1,0,0.00,0,0.00,2,2,3,1,3,2,1,8,1,1,6,3,0,0,1693,1.00,1.00,1.00,0.60,0.00,0,75720,,1.00,18991230,1262.00,"MARC BOHN, AVTACS",126200,75720,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
65,985,R,1,1,1965,1981,1.00,3,0,5,1,1,1,2,1,1,0,0.00,0,0.00,1,1,3,1,3,2,1,8,1,1,3,2,0,0,1421,1.00,1.00,1.00,0.64,0.00,0,71616,,1.00,18991230,1119.00,"CLEGG BAZEMORE, AVTACS",111900,71616,0,-1,-1,-1,0,0,0,,,,,,,0,0,0,0
66,986,A,1,1,1950,1970,0.70,3,0,4,1,7,1,2,3,1,0,0.00,0,0.00,1,1,3,1,3,6,1,8,7,1,0,1,0,0,832,1.00,1.00,1.00,0.36,0.00,0,13464,,1.00,18991230,374.00,"CLEGG BAZEMORE, AVTACS",37400,13464,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
67,6772,A,1,1,1880,1968,1.05,3,0,8,1,10,6,3,1,0,0,0.00,0,0.00,0,0,3,0,3,1,6,8,1,1,3,2,0,1,2210,0.90,1.00,1.00,0.40,0.00,0,56232,,1.00,18991230,1562.00,"MARC BOHN, AVTACS",156200,56232,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
68,1038,A,1,1,1930,1973,1.00,3,3,5,2,2,6,2,1,0,0,0.00,0,0.00,0,0,3,0,3,2,6,5,1,1,0,1,0,1,1552,0.90,1.00,1.00,0.49,0.00,0,46834,,1.00,18991230,1062.00,"MARC BOHN, AVTACS",106200,46834,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
70,1048,R,1,1,1986,1986,1.05,3,0,7,1,2,1,2,1,1,0,0.00,0,0.00,1,1,3,1,3,2,1,8,1,1,3,2,0,1,1932,1.00,1.00,1.00,0.73,0.00,0,102857,,1.00,18991230,1409.00,"MARC BOHN, AVTACS",140900,102857,0,-1,-1,-1,0,0,0,,,,,,,0,0,0,0
71,1049,A,1,1,1954,1971,0.90,3,0,4,1,7,1,3,1,2,0,0.00,0,0.00,0,0,3,0,3,2,1,8,1,1,0,1,0,0,1176,1.00,1.00,1.00,0.45,0.00,0,34875,,1.00,18991230,775.00,"MARC BOHN, AVTACS",77500,34875,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
72,6133,R,1,1,1978,1983,0.95,3,2,4,1,8,1,2,1,1,0,0.00,0,0.00,1,1,3,1,3,3,2,8,1,1,0,1,0,1,1080,1.00,1.00,1.00,0.67,0.00,0,52528,,1.00,18991230,784.00,CHRIS KIGHT - AVTACS,78400,0,0,-1,-1,-1,0,0,0,,,,,,,0,0,0,0
73,1084,R,1,1,1960,1976,0.95,3,0,0,1,1,1,2,1,0,0,0.00,0,0.00,0,0,3,0,3,2,1,8,1,1,2,1,1,0,1456,1.00,1.00,1.00,0.55,0.00,0,55770,,1.00,18991230,1014.00,"MARC BOHN, AVTACS",101400,55770,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
74,1098,A,1,1,1947,1968,1.00,3,0,8,1,2,6,3,1,0,0,0.00,0,0.00,0,0,3,0,3,4,6,5,1,1,2,1,1,1,1786,1.00,1.00,1.00,0.40,0.00,0,45480,,1.00,18991230,1137.00,"MARC BOHN, AVTACS",113700,0,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
75,1154,A,1,1,1900,1940,1.00,1,0,6,2,7,6,2,1,0,0,0.00,0,0.00,0,0,3,0,3,4,6,5,7,1,0,1,0,1,1532,0.90,1.00,1.00,0.10,0.05,0,4194,,1.00,18991230,932.00,"CLEGG BAZEMORE, AVTACS",93200,4194,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
76,6044,A,1,1,1900,1968,1.05,3,0,0,2,2,6,2,1,0,0,0.00,0,0.00,0,0,3,0,3,4,6,5,1,1,0,1,0,1,1408,1.00,1.00,1.00,0.40,0.00,0,41480,,1.00,18991230,1037.00,"MARC BOHN, AVTACS",103700,41480,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
77,7010,A,1,1,1901,1955,1.00,3,0,7,1,8,6,2,1,1,0,0.00,0,0.00,1,1,3,1,3,4,6,5,7,1,0,1,0,1,2465,0.90,1.00,1.00,0.22,0.00,0,25958,,1.00,18991230,1311.00,"CLEGG BAZEMORE, AVTACS",131100,0,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
78,1193,A,1,1,1970,1976,1.00,3,0,6,1,1,1,2,1,1,0,0.00,0,0.00,1,1,3,1,3,2,1,8,1,1,3,2,0,1,1488,1.00,1.00,1.00,0.55,0.00,0,58080,,1.00,18991230,1056.00,"MARC BOHN, AVTACS",105600,58080,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
79,1231,A,1,1,1890,1970,1.00,3,0,10,1,2,6,2,1,0,0,0.00,0,0.00,0,0,3,0,3,4,6,5,1,1,3,2,0,1,2502,0.90,1.00,1.00,0.43,0.00,0,61843,,1.00,18991230,1598.00,"MARC BOHN, AVTACS",159800,61843,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
80,1248,A,1,1,1945,1965,0.70,3,0,6,2,10,1,2,1,1,0,0.00,0,0.00,1,1,3,1,3,1,1,8,7,1,3,2,0,1,1748,1.00,1.00,1.00,0.28,0.00,0,19572,,1.00,18991230,699.00,"MARC BOHN, AVTACS",69900,19572,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
83,5736,R,1,1,1959,1978,1.00,3,0,4,1,1,1,2,1,1,0,0.00,0,0.00,1,1,3,1,3,2,1,8,1,1,0,1,0,1,1410,1.00,1.00,1.00,0.58,0.00,0,62524,,1.00,18991230,1078.00,"MARC BOHN, AVTACS",107800,0,0,-1,-1,-1,0,0,0,,,,,,,0,0,0,0
86,1298,A,1,1,1930,1975,0.80,3,0,5,1,10,1,2,1,1,0,0.00,0,0.00,1,1,3,1,3,2,1,8,1,1,0,1,0,1,1148,0.90,1.00,1.00,0.45,0.00,0,27176,,1.00,18991230,671.00,"CLEGG BAZEMORE, AVTACS",67100,27176,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
88,1353,A,1,1,1940,1976,1.00,3,0,6,1,1,3,2,1,0,0,0.00,0,0.00,0,0,3,0,3,2,1,8,1,1,3,2,0,1,1782,0.90,1.00,1.00,0.55,0.00,0,64004,,1.00,18991230,1293.00,"CLEGG BAZEMORE, AVTACS",129300,64004,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
89,1360,R,1,1,1945,1975,0.80,3,3,5,1,1,1,2,1,0,0,0.00,0,0.00,0,0,3,0,3,4,1,8,7,1,0,1,0,0,1147,1.00,1.00,1.00,0.45,0.00,0,26685,,1.00,18991230,593.00,"MARC BOHN, AVTACS",59300,26685,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
92,1460,A,1,1,1962,1982,1.05,3,0,0,1,1,3,2,1,0,0,0.00,0,0.00,0,0,3,0,3,2,1,8,1,1,3,2,0,0,1782,1.00,1.00,1.00,0.66,0.00,0,95436,,1.00,18991230,1446.00,"MARC BOHN, AVTACS",144600,95436,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
95,1497,A,1,1,1969,1983,1.25,3,4,8,1,1,10,2,1,1,0,0.00,0,0.00,0,0,3,0,3,2,1,8,1,1,5,2,1,3,3828,1.00,1.00,1.00,0.67,0.00,0,196444,,1.00,18991230,2932.00,"CLEGG BAZEMORE, AVTACS",293200,0,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
96,1514,A,1,1,1956,1973,0.85,3,3,6,1,7,1,2,1,0,0,0.00,0,0.00,0,0,3,0,3,2,1,8,1,1,0,1,0,0,1367,1.00,1.00,1.00,0.49,0.00,0,39053,,1.00,18991230,797.00,"MARC BOHN, AVTACS",79700,39053,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
97,6778,A,1,1,1974,1971,1.05,3,3,7,1,1,1,2,1,0,0,0.00,0,0.00,0,0,3,0,3,2,1,8,1,1,0,1,0,0,1829,1.00,1.00,1.00,0.45,0.00,0,57420,,1.00,18991230,1276.00,"MARC BOHN, AVTACS",127600,57420,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
98,6039,R,1,1,1958,1976,0.90,3,3,6,1,10,1,2,1,0,0,0.00,0,0.00,0,0,3,0,3,2,1,8,1,1,0,1,0,0,1086,1.00,1.00,1.00,0.55,0.00,0,38885,,1.00,18991230,707.00,"MARC BOHN, AVTACS",70700,38885,0,-1,-1,-1,0,0,0,,,,,,,0,0,0,0
99,1560,A,1,1,1952,1970,0.90,3,0,6,1,10,1,2,1,1,0,0.00,0,0.00,1,1,3,1,3,2,1,8,1,1,3,2,0,1,1239,1.00,1.00,1.00,0.43,0.00,0,38657,,1.00,18991230,899.00,"MARC BOHN, AVTACS",89900,38657,0,-1,-1,-1,0,0,0,,,,,,,0,0,0,0
100,6879,R,1,1,1954,1978,1.00,3,3,5,1,7,1,2,1,0,0,0.00,0,0.00,0,0,3,0,3,2,1,8,1,1,0,1,0,0,1246,1.00,1.00,1.00,0.58,0.00,0,53302,,1.00,18991230,919.00,CHRIS KIGHT - AVTACS,91900,0,0,-1,-1,-1,0,0,0,,,,,,,0,0,0,0
101,1574,A,1,1,1968,1980,1.05,3,0,8,1,1,1,3,1,1,0,0.00,0,0.00,1,1,3,1,3,2,1,8,1,1,3,2,0,1,1515,1.00,1.00,1.00,0.62,0.00,0,83762,,1.00,18991230,1351.00,CHRIS KIGHT - AVTACS,135100,83762,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
103,1595,A,1,1,1950,1969,0.85,3,3,6,1,8,1,2,1,0,0,0.00,0,0.00,0,0,3,0,3,2,1,8,1,1,0,1,0,1,1214,1.00,1.00,1.00,0.41,0.00,0,29110,,1.00,18991230,710.00,"MARC BOHN, AVTACS",71000,29110,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
104,5908,A,1,1,1920,1970,0.75,3,0,0,2,10,6,2,1,0,0,0.00,0,0.00,0,0,3,0,3,4,6,5,7,1,0,1,0,0,900,0.90,1.00,1.00,0.36,0.00,0,14645,,1.00,18991230,452.00,"MARC BOHN, AVTACS",45200,14645,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
105,5990,R,1,1,1948,1974,0.75,3,0,5,2,7,6,2,1,1,0,0.00,0,0.00,1,1,3,1,3,1,1,8,7,1,0,1,0,1,960,0.90,1.00,1.00,0.43,0.00,0,17802,,1.00,18991230,460.00,"MARC BOHN, AVTACS",46000,0,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
106,6160,A,1,1,1967,1979,1.00,3,0,6,1,1,1,3,1,1,0,0.00,0,0.00,1,1,3,1,3,3,1,8,1,1,2,1,1,1,1525,1.00,1.00,1.00,0.60,0.00,0,65160,,1.00,18991230,1086.00,"CLEGG BAZEMORE, AVTACS",108600,65160,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
108,6142,A,1,1,1909,1970,1.00,3,0,5,1,2,10,2,1,1,0,0.00,0,0.00,1,1,3,1,3,5,1,8,7,1,0,1,0,1,1536,0.90,1.00,1.00,0.43,0.00,0,39281,,1.00,18991230,1015.00,"CLEGG BAZEMORE, AVTACS",101500,39281,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
109,5983,A,1,1,1958,1973,1.05,3,0,6,3,1,1,3,2,1,0,0.00,0,0.00,1,1,3,1,3,2,3,7,1,1,3,2,0,0,1604,1.00,1.00,1.00,0.49,0.00,0,61691,,1.00,18991230,1259.00,"CLEGG BAZEMORE, AVTACS",125900,61691,0,-1,-1,-1,0,0,0,,,,,,,0,0,0,0
111,6239,R,1,1,1890,1976,1.25,4,4,9,1,2,6,2,1,1,0,0.00,0,0.00,1,1,3,1,3,5,1,8,1,1,6,3,0,1,2926,0.90,1.00,1.00,0.61,0.00,0,127588,,1.00,18991230,2324.00,"DEBBIE GRIGGERS, AVTACS",232400,127588,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
