fulcrum_id,parcel_num,prop_add,prop_type_name,genprop,condition,comments,lat,long,photo1,photo2,photo3,photo4,var,value
3c41287a-f916-4e65-aa0e-d0a06c3b7bfc,W04    025,676 ATLANTA HWY,"Single family home, detached garage",Occupied   ,well maintained,blank,33.412332394017575,-82.67431808705571,9e756aef-5485-416f-9944-7a4554a53d71,blank,blank,blank,foundation,found_good
c14c9615-18a9-46b8-8d4f-aab9388c8afc,049    035W,844 RAILROAD ST,Mobile home,Occupied   ,sound,blank,33.41677248715664,-82.65055917996978,7772bcb6-d90e-4636-88a8-da78708a9118,blank,blank,blank,foundation,found_good
7ee365d2-c4a5-4966-a5d2-c9e28ffd2fdc,W19    035,822 RAILROAD ST,Mobile home,Occupied   ,well maintained,blank,33.41639882399339,-82.65115861767578,5a781340-6958-411f-b3da-42f6039308f0,blank,blank,blank,foundation,found_good
cb3e8fcf-07c6-4bf0-9d9e-1e184e95cd0f,W19    033,750 RAILROAD ST,Mobile home,Occupied   ,sound,blank,33.415615626604485,-82.65196307788881,34a0468c-7fbf-4e14-a19b-d5cd40a4d3e0,blank,blank,blank,foundation,found_cracked
ebd2ed3b-031a-417e-bddb-2aa8545a9cf9,W19    037,724 RAILROAD ST,"Single family home, attached garage",Occupied   ,well maintained,blank,33.415461561053434,-82.65239117013478,8624ae05-f1f2-4c49-98f6-82ef44d68654,blank,blank,blank,foundation,found_good
c300f188-9b92-4e1a-bc3c-c7bc1b2c1aa5,W19    032,706 RAILROAD ST,"Single family home, no garage",Occupied   ,well maintained,blank,33.41529534858289,-82.6526599025364,aef7de8b-188d-4cd0-bf8f-067970014284,blank,blank,blank,foundation,found_good
f6fc9290-a2f8-48ac-b765-7ba365dc56b6,W19    031,688 RAILROAD ST,"Single family home, attached garage",Occupied   ,well maintained,blank,33.41511822154687,-82.65291048481777,1ea276c6-0c7f-4be8-ba80-36632d189f59,blank,blank,blank,foundation,found_good
fbabb8c8-6c8d-4a84-a23d-30fe65435aa2,W19    003,648 RAILROAD ST,"Single family home, no garage",Occupied   ,moderate rehabilitation needed,blank,33.41478281198085,-82.65351965204019,1d9330f1-e9f2-4cc7-9c6f-96e0d26570fc,blank,blank,blank,foundation,found_good
f1739a16-de7e-4349-9e73-55dd859c892b,W19    005,372 CULPEPPER ST,"Single family home, attached garage",Occupied   ,well maintained,blank,33.41452785718906,-82.65301538054166,6de3f0aa-061a-4549-a3b2-0f61fbb6080a,blank,blank,blank,foundation,found_good
caf39946-a2c8-40ed-8c12-c0bcb839a9a7,W19    006,354 CULPEPPER ST,"Single family home, detached garage",Occupied   ,well maintained,blank,33.41432220993249,-82.65281249327806,c4eee4d9-02be-405e-9990-0312dc30333d,blank,blank,blank,foundation,found_good
b851754f-dcb2-4d62-8432-c1aaf6dcba4d,W19    007,332 CULPEPPER ST,"Single family home, no garage", Unoccupied  ,minor repairs needed,blank,33.4141759535732,-82.65259299793873,f16e7ce2-ad9e-4680-9b47-817a78610766,blank,blank,blank,foundation,found_good
a96769ba-a639-4620-9d71-d5fa7fe2bb37,W19    016,24 HAYNES ST,"Single family home, no garage",Occupied   ,minor repairs needed,blank,33.41417975438848,-82.65211321081689,35aca929-280d-47ef-b4f8-55a118347d08,blank,blank,blank,foundation,found_cracked
aaabcec0-0878-4b33-96ff-6bd5f0bbb9d2,W19    015,48 HAYNES ST,"Single family home, no garage",Occupied   ,sound,blank,33.414441495070434,-82.65201642244992,f8657d3b-0707-4138-8948-58e202e6e306,blank,blank,blank,foundation,found_good
865287c7-6529-49c4-ba68-8074bb7d4dd1,W19    014,62 HAYNES ST,"Single family home, no garage",Occupied   ,sound,blank,33.41470331739838,-82.65191687258381,6fd475d6-a7ef-4102-b462-2858f0414e6f,blank,blank,blank,foundation,found_good
ee4c4188-a226-49a0-b4b2-ac488cce08e1,W19    009,67 HAYNES ST,"Single family home, attached garage",Occupied   ,sound,blank,33.41484898721913,-82.65250613466047,7269bbb9-0ade-40f2-bacb-abe564e93b8a,blank,blank,blank,foundation,found_good
e19ea731-4fa1-47c1-9424-0eb3408295bc,W19    013,84 HAYNES ST,"Single family home, attached garage",Occupied   ,sound,blank,33.414963992464415,-82.65181483485875,eade99dc-cd6e-49c7-8e9e-8e5e99586604,blank,blank,blank,foundation,found_good
b28b5817-c13a-4b9f-b201-136373502555,W19    012,98 HAYNES ST,"Single family home, no garage",Occupied   ,sound,blank,33.41521620821582,-82.65171667494278,0aeb90fe-05cb-499c-a978-89bd703313a2,blank,blank,blank,foundation,found_good
5a5cd27a-0c0e-46c5-b426-e98a2fdc3942,W19    011,103 HAYNES ST,Mobile home, Unoccupied  ,moderate rehabilitation needed,blank,33.4153028236609,-82.65212235363921,57046e7a-2349-4c66-b9ab-7207b7e9bc61,blank,blank,blank,foundation,found_cracked
d7d706b9-a40b-47db-852c-add8b67ae674,W19    010,81 HAYNES ST,"Single family home, attached garage",Occupied   ,sound,blank,33.41508123279027,-82.65231614938006,63648b02-089e-4596-b2aa-d90838639379,blank,blank,blank,foundation,found_good
13026712-7011-40b8-a481-66a919da0714,W16    023,589 HALL ST,"Single family home, no garage", Unoccupied  ,sound,blank,33.413419713289315,-82.65643286938496,cce8a543-7cb3-4f5a-a84f-b8392ee27d53,blank,blank,blank,foundation,found_good
9eb2070d-ca95-41c7-9e07-a60817b68708,W16    021,539 HALL ST,"Single family home, attached garage",Occupied   ,well maintained,blank,33.41310651845089,-82.6571467121449,f839ec6d-60e6-4651-afcd-54212aaba282,blank,blank,blank,foundation,found_good
